22	8
23	48
24	16
25	92
26	303
27	531
28	1287
29	2711
30	3481
31	4798
32	8290
33	10510
34	10056
35	13943
36	19677
37	18005
38	21630
39	41425
40	78003
41	130120
42	184156
43	196871
44	190009
45	143770
46	100180
47	55756
48	39970
49	46079
50	76510
51	123772
52	165893
53	192036
54	189755
55	151247
56	108719
57	66430
58	42358
59	40469
60	51952
61	84059
62	122515
63	156232
64	170870
65	148787
66	109192
67	73516
68	44252
69	35471
70	37107
71	56557
72	80897
73	785
74	1569
75	166834
76	195193
77	161646
78	49974
79	34316
80	30212
81	40865
82	53570
83	77408
84	90203
85	93821
86	89425
87	66556
88	45490
89	32510
90	26423
91	27496
92	37880
93	50442
94	70205
95	71163
96	70637
97	62753
98	44332
99	35717
100	26473
101	22704
102	27072
103	35318
104	54552
105	57416
106	62259
107	49054
108	40196
109	31603
110	24366
111	21989
112	21451
113	26416
114	33511
115	41065
116	47151
117	47389
118	39958
119	30680
120	23545
121	19578
122	17865
123	21776
124	27139
125	32175
126	36289
127	39988
128	36425
129	29732
130	26928
131	21516
132	20292
133	19565
134	21253
135	27445
136	30866
137	36868
138	39250
139	31894
140	31361
141	29435
142	27031
143	24530
144	23887
145	27013
146	29966
147	35812
148	39104
149	35882
150	34054
151	33859
152	31229
153	33793
154	35856
155	41082
156	46525
157	49816
158	48663
159	43760
160	35927
161	34133
162	33635
163	39240
164	46725
165	59460
166	72365
167	81512
168	77116
169	63070
170	46255
171	38913
172	34784
173	37834
174	45250
175	58268
176	69247
177	78143
178	74621
179	63496
180	55119
181	42135
182	36945
183	35998
184	38872
185	45641
186	52632
187	59890
188	62124
189	58185
190	50164
191	44145
192	38414
193	36315
194	37539
195	39387
196	42739
197	47148
198	49075
199	49476
200	45679
201	40701
202	38255
203	35731
204	36425
205	35712
206	36943
207	37846
208	38534
209	40668
210	38228
211	36486
212	34703
213	33177
214	31836
215	30464
216	30728
217	30396
218	31436
219	31362
220	30279
221	29804
222	28666
223	27273
224	26879
225	26349
226	25823
227	25520
228	24798
229	24339
230	24038
231	23235
232	23163
233	22300
234	22245
235	21509
236	20335
237	19880
238	18761
239	18582
240	19033
241	18189
242	17910
243	17959
244	17414
245	17048
246	16282
247	15362
248	14694
249	13919
250	13965
251	13827
252	13676
253	13749
254	13614
255	13279
256	12731
257	12190
258	11643
259	10953
260	10581
261	10804
262	10362
263	10193
264	10267
265	9765
266	9752
267	9098
268	8865
269	8351
270	7859
271	8017
272	7781
273	7999
274	7835
275	7795
276	7602
277	7574
278	7436
279	6893
280	6633
281	6675
282	6548
283	6174
284	6277
285	6497
286	6123
287	6449
288	5937
289	6092
290	6225
291	6153
292	6053
293	5787
294	5803
295	5279
296	5370
297	5572
298	5711
299	6115
300	6439
301	6417
302	6191
303	5974
304	5433
305	5114
306	5125
307	4899
308	5512
309	5275
310	5619
311	5882
312	5991
313	5732
314	5584
315	5257
316	4868
317	4782
318	4829
319	4928
320	5112
321	5261
322	5455
323	5546
324	5467
325	5178
326	5159
327	4912
328	4758
329	4776
330	4725
331	4792
332	4756
333	4937
334	4874
335	4824
336	4772
337	4738
338	4356
339	4601
340	4451
341	4329
342	4321
343	4101
344	4181
345	4265
346	4257
347	4418
348	4199
349	4051
350	4159
351	3820
352	3642
353	3470
354	3633
355	3522
356	3673
357	3732
358	3756
359	3567
360	3410
361	3281
362	3139
363	3083
364	2986
365	2856
366	2946
367	2975
368	3100
369	3085
370	3091
371	2971
372	2693
373	2625
374	2544
375	2370
376	2482
377	2514
378	2531
379	2548
380	2476
381	2429
382	2355
383	2245
384	2096
385	1980
386	1920
387	2014
388	2083
389	1975
390	2074
391	1994
392	1966
393	1978
394	1871
395	1620
396	1512
397	1588
398	1525
399	1570
400	1608
401	1573
402	1592
403	1535
404	1370
405	1351
406	1290
407	1186
408	1251
409	1213
410	1222
411	1254
412	1270
413	1131
414	1101
415	1068
416	1059
417	984
418	875
419	952
420	891
421	945
422	938
423	910
424	880
425	825
426	759
427	745
428	741
429	792
430	738
431	711
432	689
433	710
434	728
435	677
436	652
437	615
438	538
439	550
440	543
441	591
442	531
443	528
444	529
445	543
446	529
447	533
448	472
449	463
450	417
451	493
452	448
453	523
454	468
455	441
456	436
457	459
458	373
459	418
460	355
461	382
462	373
463	349
464	349
465	388
466	342
467	337
468	328
469	283
470	316
471	318
472	297
473	288
474	284
475	318
476	314
477	305
478	281
479	262
480	264
481	224
482	267
483	237
484	264
485	258
486	231
487	248
488	220
489	300
490	219
491	224
492	212
493	212
494	222
495	231
496	195
497	226
498	220
499	235
500	181
501	213
502	187
503	205
504	200
505	251
506	199
507	184
508	178
509	177
510	168
511	194
512	170
513	161
514	166
515	150
516	148
517	192
518	177
519	181
520	145
521	158
522	128
523	157
524	122
525	146
526	135
527	130
528	140
529	172
530	121
531	118
532	109
533	106
534	122
535	125
536	120
537	129
538	106
539	100
540	101
541	111
542	103
543	112
544	122
545	106
546	80
547	111
548	90
549	130
550	78
551	95
552	67
553	87
554	82
555	83
556	77
557	74
558	78
559	80
560	77
561	74
562	78
563	56
564	60
565	51
566	57
567	59
568	66
569	65
570	57
571	59
572	40
573	60
574	67
575	41
576	52
577	74
578	63
579	69
580	35
581	45
582	63
583	48
584	51
585	47
586	55
587	51
588	37
589	38
590	58
591	48
592	37
593	52
594	47
595	33
596	32
597	72
598	40
599	36
600	28
601	26
602	45
603	57
604	45
605	38
606	28
607	32
608	28
609	51
610	27
611	21
612	27
613	40
614	36
615	56
616	36
617	25
618	29
619	34
620	32
621	53
622	36
623	20
624	29
625	32
626	18
627	47
628	28
629	27
630	36
631	23
632	26
633	35
634	29
635	27
636	28
637	38
638	31
639	45
640	40
641	31
642	24
643	20
644	28
645	22
646	29
647	29
648	25
649	37
650	26
651	27
652	31
653	16
654	31
655	20
656	12
657	36
658	24
659	17
660	19
661	20
662	14
663	51
664	28
665	20
666	20
667	17
668	17
669	51
670	31
671	20
672	22
673	20
674	26
675	39
676	26
677	22
678	26
679	29
680	18
681	48
682	25
683	31
684	19
685	17
686	11
687	23
688	37
689	22
690	18
691	17
692	23
693	34
694	25
695	12
696	26
697	23
698	21
699	33
700	21
701	2
702	14
703	5
704	5
705	1
706	3
707	2
708	7
709	1
710	1
711	2
713	2
714	2
715	3
717	1
718	2
720	3
721	1
722	1
730	1
735	1
739	1
