Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
MCW_CT_ROA_082_R1_trim	17.0	17.5	18.0	17.5	17.0	17.0	17.0	17.5	18.0	17.5	17.5	20.5	24.0	30.5	51.0	101.0	151.5	287.0	635.5	1244.0	1731.0	2656.5	4707.5	8030.0	10414.0	13827.0	21334.0	31512.0	38155.0	46675.0	62878.0	82900.0	96386.0	112877.5	145131.0	178982.0	197128.0	217436.5	255114.0	294081.5	316243.0	334082.0	367321.5	397795.0	412036.0	412159.0	415465.0	420710.5	420731.5	415790.0	403487.5	388752.0	380457.0	378424.0	372276.0	366326.5	364515.5	354600.5	334366.5	310472.5	295672.5	281980.0	256923.5	231238.0	217228.0	203575.0	183061.5	165647.5	154846.0	145222.5	130343.5	118807.5	113009.5	107882.0	99529.5	91915.0	88155.5	82295.0	73491.5	64183.0	57974.5	52354.0	42945.0	33592.5	28160.0	23420.5	16547.0	11380.5	8782.5	6845.0	4396.5	2719.0	1882.0	1355.5	776.0	456.0	310.5	214.0	110.0	57.0	37.0
MCW_CT_ROA_082_R2_trim	28.0	22.5	16.5	16.5	17.0	17.0	16.5	16.5	17.0	16.5	18.0	24.5	30.5	44.0	70.5	147.0	226.5	376.0	753.5	1520.0	2145.0	3211.0	5567.0	9274.5	11868.5	15578.0	23649.5	34255.5	41101.5	49565.5	65690.5	85553.0	98925.5	114989.0	146248.0	179490.5	197484.5	217301.5	254389.0	293622.0	316405.0	334565.0	368373.5	396876.0	409064.0	411890.5	417692.0	425012.0	427020.5	422937.5	413106.0	400151.0	392067.5	390865.0	385549.0	379161.5	377128.5	367306.0	346989.5	323722.0	309337.0	293395.5	266266.5	239991.0	224807.5	210269.5	187973.0	168277.5	156691.5	145457.5	128859.5	114557.5	105798.5	97644.5	86089.0	75679.0	69324.5	63306.5	54327.0	45727.0	40386.0	35423.0	28344.5	22264.5	18535.0	15127.5	10678.5	7606.0	5919.5	4577.0	3038.5	1978.5	1462.5	1103.0	701.5	449.5	332.0	249.0	152.5	93.5	71.0
MCW_CT_ROA_090_R1_trim	42.0	42.0	42.0	42.0	42.0	42.0	42.0	43.5	45.5	46.5	51.5	65.5	79.0	124.0	228.0	455.0	637.0	1024.5	1977.5	3827.5	5192.5	7519.5	13357.0	22336.5	28213.5	36332.5	54767.5	79477.5	94980.0	115553.0	153839.5	198554.0	226739.0	260163.0	327274.0	395161.0	430307.0	469035.0	542074.5	622690.0	670775.0	703899.0	765307.0	814453.5	835462.0	838544.5	826543.5	820053.0	823918.5	813451.5	778415.5	734950.0	714057.5	705868.0	683452.0	660705.5	650526.0	623620.5	573447.5	520187.0	487240.0	454176.5	403645.5	357662.0	331119.5	308729.0	273409.0	243533.5	226774.0	212371.0	189666.5	169796.5	159453.0	149240.5	135504.5	122694.5	113559.0	106081.5	94543.5	82458.5	75029.5	66900.5	54107.0	41941.5	35056.0	29466.5	21111.5	14666.5	11198.0	8812.5	5698.5	3478.0	2516.5	1893.0	1109.0	610.0	426.5	313.5	187.5	132.5	112.0
MCW_CT_ROA_090_R2_trim	70.0	60.5	47.5	44.0	44.0	44.5	43.5	44.5	47.5	51.0	66.0	102.5	129.5	201.0	390.0	779.5	1069.0	1696.0	3270.5	5893.0	7673.5	10694.0	17890.0	28666.5	35613.5	44609.5	64957.5	90540.5	105871.0	127426.5	166957.0	210094.5	236494.0	268120.5	333784.0	398324.0	429720.0	470522.5	541151.5	619115.5	669332.0	700553.5	761419.5	807843.5	824359.5	828838.5	822719.5	818171.5	819461.5	808970.5	776100.0	737615.0	720262.0	715127.0	690326.5	666281.5	659443.5	630188.0	579741.5	529218.0	496937.0	464983.5	413349.0	366510.5	341403.0	317028.5	279182.0	246944.0	228468.5	212271.0	187612.5	165542.0	153074.5	141712.5	124890.0	109699.0	100340.5	91330.5	77971.5	65757.0	58519.5	51374.5	40820.5	31826.0	26664.5	21871.5	15523.0	11076.5	8498.5	6702.0	4639.0	3054.0	2239.5	1749.0	1216.0	845.0	672.0	530.5	343.0	222.5	167.0
MCW_CT_ROA_091_R1_trim	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.5	3.5	4.0	4.0	10.0	26.5	74.5	117.0	198.5	458.0	1001.5	1387.0	2033.0	3700.5	6713.0	8848.0	11858.0	18924.5	28605.0	34630.0	43417.5	60107.5	80373.0	92937.0	108158.0	139371.5	171970.5	188949.0	207822.0	245028.0	287220.5	311841.0	329925.0	364565.0	394502.0	407862.5	414909.0	420164.0	426947.0	434631.0	431427.0	419706.5	407252.0	403241.0	405274.5	401964.5	397720.5	397749.0	388861.5	368471.0	343268.0	327777.0	311483.0	282043.0	253299.0	238486.0	225199.5	201954.5	180896.5	169498.5	159959.0	143393.5	129389.0	122631.5	115329.5	104950.5	95583.5	89543.5	85297.5	77059.5	67895.5	62931.5	56718.5	46882.0	37352.0	31506.0	26320.0	18382.5	12484.0	9617.5	7566.0	4858.0	3032.5	2131.0	1556.5	907.0	492.5	300.0	212.5	107.0	48.0	28.0
MCW_CT_ROA_091_R2_trim	17.0	11.5	4.0	3.0	4.0	3.5	2.5	3.5	5.0	4.5	5.5	9.0	11.0	20.5	63.5	153.0	215.5	337.0	708.5	1487.0	2028.5	2871.0	5146.5	8921.0	11421.0	14774.0	22771.0	33225.5	39390.5	48670.5	66061.5	86333.0	98811.0	113701.5	143933.5	175301.5	191547.5	211271.0	247472.5	288447.0	313852.0	330910.0	366425.0	396200.0	407546.5	414728.5	422430.0	430147.5	436271.0	433688.0	424361.5	415005.0	412430.5	414463.0	410269.5	406202.0	407464.5	398439.5	378126.0	352772.0	336707.0	320648.0	291219.0	261498.5	245695.5	231430.0	206902.0	183693.0	170630.0	158821.0	140022.0	123863.0	114852.0	106763.5	94029.5	82486.0	75874.5	69514.0	59531.0	50066.0	44428.0	39387.0	31840.5	24871.5	20517.0	16885.5	11990.5	8349.5	6302.0	4972.0	3351.0	2197.5	1607.0	1220.0	800.5	503.5	357.5	291.0	186.5	105.5	78.0
MCW_CT_ROA_093_R1_trim	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	23.0	24.0	28.5	34.0	40.0	50.5	92.5	133.0	216.0	461.0	1026.0	1454.5	2168.0	3953.5	7159.0	9397.5	12486.5	19947.0	30392.0	36820.5	46217.0	64407.5	86321.0	100007.5	116300.0	149899.5	186018.0	205299.0	227255.5	269416.5	317478.0	346320.0	367749.5	409304.5	445698.0	462237.5	468393.5	473968.0	481633.0	488936.5	487591.0	474394.5	458667.5	454488.0	455853.5	448733.5	442354.0	443026.0	431313.0	407335.5	380966.5	364263.5	346615.0	316493.0	289110.5	275224.0	260953.0	236633.0	215533.0	204144.5	194119.0	177288.0	162590.0	154534.0	146466.0	135337.5	124523.5	117182.0	110491.0	99506.0	88398.5	81601.5	73362.5	61105.5	48949.5	41056.5	34301.0	24373.5	16830.0	12970.0	10374.5	6877.0	4221.0	2963.5	2137.5	1267.0	715.5	452.5	326.0	183.5	87.5	57.0
MCW_CT_ROA_093_R2_trim	34.0	33.0	28.0	23.0	22.0	22.5	23.5	24.0	24.0	24.0	25.5	27.5	28.5	38.5	71.5	158.0	224.5	349.0	742.5	1500.0	2007.0	2882.5	5099.0	8729.0	11115.0	14530.5	22663.5	33705.5	40389.0	49588.0	67885.0	89595.0	102775.0	118907.0	152131.5	187248.0	205753.5	229074.0	272239.5	319323.5	347582.0	369378.0	412978.5	447191.5	459893.0	470883.0	480498.5	487087.5	494196.5	493180.0	483435.0	470637.5	466112.0	468363.0	462254.0	455620.5	456204.0	444893.5	419822.5	392364.5	375928.0	358510.5	327602.0	298359.0	283510.5	267414.0	241490.0	219304.0	206380.5	193167.0	173388.5	156444.5	145965.5	136359.0	121546.0	107473.0	99147.5	91056.5	78331.0	66148.0	58737.5	52013.0	42467.0	33204.5	26926.5	22069.5	15871.0	11345.5	8733.0	6799.5	4608.5	3021.0	2164.0	1605.0	1024.5	663.0	513.0	404.5	260.0	127.0	68.0
MCW_CT_ROA_100_R1_trim	45.0	45.5	45.5	45.0	45.0	45.0	47.0	49.5	50.0	51.0	60.0	84.0	103.5	122.0	186.0	382.5	537.5	720.0	1271.0	2317.5	3026.0	4199.5	7184.5	11771.0	14708.5	18980.5	28549.0	40663.5	48010.0	56780.0	74179.0	96908.0	111538.5	129493.0	167764.0	207887.0	227584.0	249418.5	293442.5	345546.0	376395.5	397027.0	442548.5	481636.5	497004.0	501865.0	496717.5	495867.0	501348.5	488656.5	462694.5	432823.0	414694.0	409329.0	393950.5	382081.5	380064.5	359872.5	326908.5	296500.0	277338.5	260287.5	234566.0	210736.0	198133.5	187217.0	167573.5	149292.0	138928.5	129859.0	116540.5	105079.5	98190.0	91825.5	82261.0	74268.0	70063.0	64867.0	58182.0	51759.0	46903.0	42462.5	35421.0	28295.0	24031.5	20226.5	14461.0	9904.0	7565.0	5995.5	3852.5	2390.5	1779.0	1346.0	827.5	495.0	325.0	240.0	136.0	74.5	58.0
