Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
MCW_CT_ROA_082_R1_trim	36.286759031731926	40.54407682534196	40.22815600721268	40.790862537841164	39.93963442808607	40.40995039637599	40.25497941732496	40.37614762226393	40.79785607935501	40.35911098276043	40.86937876253982	41.313186461612055	41.179769426222414	41.52766101636563	40.28405014785443	39.701852985617386	40.01366336261393	39.737767530849226	39.970886617832925	39.82288139480234	39.85623663490868	39.881983660891294	39.86540066912677	39.89948681985964	39.858644183854366	39.85125894821629	39.80519551564184	39.86290311528071	39.82620822728688	39.85798507909967	39.868686417666744	39.83894412313583	39.85223803300718	39.833337910984135	39.811213551002105	39.797228134786536	39.82612483079957	39.79091256241197	39.81104384449636	39.84163707232667	39.843697891066775	39.874024454250694	39.910353681645404	39.90913878641905	39.946050638279054	39.97716288637906	39.933136539028055	39.970535300246446	39.97945130072736	39.95429947973936	40.00357833960643	40.091843439499534	39.9689722824615	39.96440969699035	39.94822988668618	39.947509488549215	39.86890608994382	39.86246245186958	39.938809764492916	40.02613732356559	40.048764043981606	40.19228467761154	40.13068338371666	40.06253037476802	39.96946246973106	39.87013191333724	39.932124690149465	39.83681586590148	39.90824845322032	39.99251041149106	39.99665134846458	40.061632968727835	40.05164977145267	39.87601711946886	40.01599838479424
MCW_CT_ROA_082_R2_trim	35.123713793174524	36.23740951872728	35.82615940221085	36.32689596219797	35.5778220183667	36.06271256367921	35.99355696343306	36.12209791738274	40.54962911052324	40.15397951952968	39.64380920886481	40.157815145464824	39.92436043659949	40.125639866418545	40.06453377788021	38.37956795515451	38.818063501986416	38.42726799235829	38.767929621385385	38.595100567717424	38.64165958844381	38.671176812948	38.639399372504094	38.62435353985629	38.640601295982435	38.6428373472696	38.61383863320497	38.62166549247118	38.63528186229948	38.59586059026918	38.63445717332681	38.6317963384795	38.64431854053807	38.57950651200928	38.622951303769476	38.606921961262145	38.6140185652272	38.59362204763884	38.609921067250454	38.636280092838014	38.61613209001463	38.625032163983555	38.618613764795356	38.62711426685754	38.59843045195183	38.52194705197313	38.56173999191774	38.54603729787408	38.48729383132761	38.53798926612898	38.51026797390898	38.49209188677291	38.42753449643968	38.4504069684815	38.40835716283368	38.37413835123901	38.36580616075204	38.41259184659165	38.3877776540185	38.411624282301595	38.40702729192228	38.45749725500916	38.23046766440191	38.31396057736107	38.34877402483069	38.29408799433293	38.305943718598705	38.28229915689459	38.31142269722422	38.33740467976591	38.348274072595274	38.342246389533365	38.30814784839766	38.267312810352735	38.21945859906358
MCW_CT_ROA_090_R1_trim	36.318397807210985	40.98637980888882	40.45606340119103	41.03737018819906	40.23660816396648	40.688974615174196	40.58032196196978	40.73690286208072	41.48658236882168	40.7970802187957	41.47184232076015	42.00974511246961	42.01490098811327	42.098323177949744	41.05466644211965	40.39538278410395	40.94068598595499	40.33356962249489	40.78685296837674	40.5068466230255	40.59948886866727	40.626290799114244	40.67175210647895	40.704859171449584	40.66527745665751	40.75105827530968	40.77445033096923	40.798340803579876	40.700726708139356	40.71685270864514	40.8662520473516	40.899155914095346	40.911602622809795	40.88563035988279	40.89383829690632	40.88974846241409	40.97925373474475	40.87691817956891	40.906589275899385	40.89617021364556	40.865785207873685	40.88403798782188	40.890475923540386	40.88100210129957	41.01674815504562	40.98019376096831	40.990697212639624	41.04603783912023	41.0999035224675	41.05366625661793	41.04603230669254	41.15587773630777	41.007114312528785	40.987556103258726	40.98264748299185	40.94578360492232	40.95981445908271	40.9908135140822	41.093519123603635	41.08473351776844	41.11505630432769	41.26373734594684	41.10306696857331	41.055618286862035	40.999267230664444	40.94383738574949	40.99228337289761	40.79423131440168	40.89748016534299	40.94107736313124	40.947869989938056	41.014954509454775	41.06691348323159	40.9614402504763	40.95506608240221
MCW_CT_ROA_090_R2_trim	35.835907981709546	36.90495553338912	36.597236753159024	36.951874804002	36.41470139286741	36.736096943753346	36.676061950217516	36.794760426407514	41.65244105426304	41.42615330671785	41.003578415648256	41.37868494649567	41.17103696931012	41.27288035106067	41.220055279841304	40.06543488676367	40.39180547449368	40.10400896290581	40.38984498705587	40.17538652851691	40.26706161970758	40.30169569000211	40.27445908581236	40.15278041677449	40.222093666786606	40.25796653242358	40.24148392998122	40.248824838520676	40.274216710824625	40.214747162936156	40.24436032777217	40.2669254066633	40.28513779365822	40.20795054317496	40.23347711929798	40.2317190936945	40.25058332954984	40.21882449431222	40.223552069308525	40.2679395365523	40.22104211552566	40.21619771038391	40.21612098216117	40.23895849557102	40.25209910133168	40.18061870541463	40.06695573005577	40.21184788391938	40.17450933572069	40.18647287651925	40.171759896876154	40.17998183190314	40.10854417549924	40.115575585190236	40.07084090526886	40.04375456630008	39.97615269148034	40.067855015604245	40.067851188770135	40.072924659805096	40.06568551867895	40.126520579852695	39.95719004685906	39.95354845439307	39.93756128201774	39.9829608443981	39.984804424989825	39.9639897260853	39.944266231748706	39.95020615087071	39.91143091686149	39.989854016692	39.93217164010776	39.912424687658685	39.86092583178213
MCW_CT_ROA_091_R1_trim	36.31819847928054	40.610078275177166	40.24235609401297	40.83031716216147	39.942736754643214	40.44086865162769	40.299034477426126	40.477094209245074	41.315823729303766	40.47117808339411	41.35303412793115	41.85233123590716	41.85441262535057	41.96161249946319	40.73760130000034	40.016345926182424	40.558617583112024	39.96765671353591	40.45214909300037	40.16593470882407	40.28025597968413	40.30682040694949	40.33107829589595	40.343170976057884	40.279695285718226	40.33595224765417	40.357740458768234	40.381116980174696	40.30579207329001	40.33230005629501	40.48976152178255	40.51483828444516	40.50556455013009	40.466297196832976	40.448542152191486	40.42331416385764	40.51040750046677	40.39012332495253	40.449206495677906	40.45816172679561	40.44994753194314	40.48778319511283	40.494157591715705	40.46361218130862	40.58799357061281	40.53507891880366	40.52028875441904	40.557868299188215	40.61541202861388	40.59601309837937	40.626212218835555	40.76716141665071	40.618227405546115	40.58056864904556	40.58431869719535	40.51703291387261	40.512870161222324	40.51859571344679	40.63264789896853	40.63619018971656	40.68711241861063	40.85931216212235	40.7049928708318	40.67071279688176	40.607723793880325	40.53048321194998	40.56375946506908	40.352852163412756	40.431351834836576	40.49112284402336	40.52317400903479	40.60162571854923	40.67520955792319	40.6078977057687	40.60160486079313
MCW_CT_ROA_091_R2_trim	35.24415592964609	36.41317611911479	36.00595801709133	36.499581629567466	35.73939304522894	36.20921140387879	36.137890089539034	36.2872297674302	40.77319669065019	40.40059618881354	39.879597402757526	40.367913635899136	40.141560011188595	40.32864459868531	40.2023642131196	38.65930526194363	39.05464087701586	38.703180956723685	39.0301539508993	38.772506099504206	38.8932280689949	38.97037664897361	38.93735542041463	38.82165490890048	38.83908246307236	38.894622300027144	38.89909051677748	38.89354798328632	38.9297445347003	38.84752943812395	38.881232908996566	38.91121389581566	38.93495312102888	38.85369032910461	38.861368955804565	38.87795280451168	38.9142977004331	38.86747604472155	38.88215045022348	38.929180126547344	38.8732025116783	38.85153691546649	38.85886281752656	38.89225181443682	38.91279663803115	38.80145575922021	38.70035792073727	38.85996393291466	38.797146076137295	38.83248438912886	38.78968058983986	38.80631539753984	38.7274188829693	38.74691864053858	38.71005368953729	38.67878124572435	38.616356533630224	38.73243441435581	38.721499944935616	38.73872066079208	38.73483653485816	38.80305042525049	38.61676457378235	38.61566910386017	38.60548225918924	38.677427733535616	38.68738659224829	38.685468359883295	38.67966800934009	38.67593639340269	38.62302102505614	38.71158682302146	38.65847830123987	38.63663383815135	38.56597423875182
MCW_CT_ROA_093_R1_trim	36.40137332137007	40.67159790600812	40.497655335916974	40.96140180308325	40.26646742959206	40.59079760516753	40.47266536208263	40.636144238887795	41.502600443080546	40.70990126174604	41.62229113762019	42.02318246041013	42.041715196577584	42.14524496531	40.95053645334768	40.349434465904544	40.805320775515085	40.292580048079344	40.715816123093894	40.45589434901063	40.55090862611141	40.56155907356885	40.5940902328937	40.60951747083226	40.551086963407776	40.591271220990464	40.61363568817982	40.639058986805146	40.55928678604252	40.584743620290915	40.71796675942615	40.73600260468248	40.725156293108164	40.690073067429175	40.67682233071594	40.654919527616	40.724404635329215	40.6172881044729	40.66530085548672	40.67595907957139	40.66757302169796	40.697187806553224	40.69590131795492	40.670199286455826	40.78195452140729	40.7373649389959	40.72197280436474	40.754913913448114	40.804276016700335	40.79025982779559	40.81738473320404	40.947967497042164	40.80458522367669	40.764485112448135	40.76292288856105	40.699840157668156	40.69447191011236	40.70368048568739	40.80640520717155	40.805112584923116	40.85215405839174	41.01163886493238	40.86452348550001	40.83650794871294	40.775496644393066	40.70057279236277	40.7319033901364	40.53445140904351	40.59347017868247	40.663248375092024	40.69300511738287	40.76926857035569	40.83362942409017	40.76832786891838	40.75294034596879
MCW_CT_ROA_093_R2_trim	35.1516181746989	36.38168640280352	35.92013543573487	36.42141432224325	35.6282675541688	36.12706456014075	36.0433318784473	36.206982559903665	40.60937624022493	40.22795545156553	39.65036807567477	40.19242469722657	39.92837572072857	40.14159606809362	40.00678568184518	38.392894248179886	38.7934330446163	38.45737430225889	38.7799508474071	38.521187765088705	38.613908816155025	38.67215240405689	38.65010456664838	38.53508540981563	38.5740698247594	38.630870628061444	38.623430017424916	38.63216990273171	38.655818631218104	38.57812011514866	38.60283283235986	38.62248712751015	38.647478868971305	38.56275173845282	38.59567921856914	38.6105570811933	38.63794111287792	38.59933763627289	38.609063035364585	38.65152695782459	38.59885187321747	38.58263080994457	38.58454538040798	38.61605778699642	38.626733158674696	38.54129795743808	38.45237426531574	38.60672278100145	38.5405963880135	38.56719384759378	38.53043339537357	38.53951706532228	38.467033813607905	38.48446679464067	38.457574248703935	38.444184683317324	38.37578629545481	38.4948929488581	38.487976561936414	38.49400397318983	38.503124629074364	38.5638616535966	38.390906237259024	38.38444537284539	38.362932647593766	38.44123422068043	38.4439085352528	38.44163083509256	38.43504260550677	38.434517582855435	38.39601871361291	38.46634251918876	38.4043945990583	38.3806695621863	38.32263593689074
MCW_CT_ROA_100_R1_trim	36.582273560178486	41.2927264944763	40.98520111984465	41.37346252504578	40.33425945382562	40.792252247563916	40.76897597324578	40.858113500160165	41.48857652570343	40.905951721805074	40.417787398506434	40.888233197001256	40.81347804380044	41.16398686293001	41.2128706918143	40.500898273738684	41.146162637909455	40.610611372910554	41.111548585816365	40.86103363711984	40.894935337957385	40.9990068513778	40.87686294568748	41.08351083273326	41.0196276704653	41.00599855546176	41.00750673604351	41.04944630678007	41.04520663370282	41.04617255511254	41.08367881953285	41.140182546855996	41.16795895527576	41.21398476864658	41.13810150909979	41.060299484029755	41.09662460114267	41.09263162537342	41.13020608662342	41.16918681049739	41.133365899430316	41.17766351685509	41.1988455661544	41.161928430564416	41.20557580964724	41.12260658554108	41.18693664954282	41.2321190565862	41.245491992066675	41.22533547068812	41.244261708771425	41.18460858855407	41.14960341564135	41.17475833513085	41.15640261404836	41.09091292039504	41.077199642690026	41.07351181898853	41.16749897488304	41.19601153535175	41.30899962371735	41.30295980843928	41.29391912686682	41.30629661698435	41.22381473094546	41.19892849551917	41.17517390317123	41.1449296430516	41.14373679156626	41.194031557269525	41.25126353510774	41.31809365583485	41.264562412595694	41.21291118406623	41.148099082485096
MCW_CT_ROA_100_R2_trim	35.700632069732926	36.80062064990452	36.55124166795299	36.878431263597776	36.319253374468126	36.66487510541568	36.588875750907185	36.749341511364115	41.55849776987609	41.295497913449765	40.80428624357811	41.28405015394504	41.080545726510394	41.214988316229864	41.21734002081215	39.87655639093847	40.22312495438652	39.88652536161646	40.19209789816146	40.03082566722581	40.04019612640298	40.06074240743233	40.02555113118607	40.09097389382224	40.09434479243858	40.07999462573656	40.048104625305186	40.01678781906503	40.00182041376622	40.024031411022996	40.082310909227616	40.07870806168488	40.09074093750701	40.06306828432866	40.07473471662225	40.074234228056476	40.06711565632038	40.07077541227676	40.050478611962845	40.02263924975493	40.029324024862305	40.050202394645574	40.068483808492566	40.08282373383498	40.06116810030517	40.0208672042976	40.01459760089433	39.956286444115506	40.02580546573822	40.01475240904331	39.96150353807777	40.03262754504089	39.92204206086543	39.93873457511582	39.88522352017612	39.84148642440488	39.840753994635925	39.84936759795804	39.828654491505276	39.854143954805444	39.867085765088305	39.78494705879707	39.726583405807766	39.766335000986736	39.765404779005266	39.74441253168861	39.780685399040024	39.72134964435985	39.73765835227651	39.721991690194976	39.74650004493662	39.7565279746723	39.689669793253564	39.66429477315641	39.6560360533177
