pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.25	1816	410915	226.27
9.60	6.00	2074	472776	227.95
9.30	5.77	2412	554891	230.05
9.00	5.55	2917	673109	230.75
8.70	5.31	3431	797016	232.30
8.40	5.08	4049	950213	234.68
8.10	4.84	4732	1118658	236.40
7.80	4.64	5852	1390636	237.63
7.50	4.40	6918	1659251	239.85
7.20	4.17	8027	1947718	242.65
6.90	3.93	9386	2302847	245.35
6.60	3.74	11668	2860976	245.20
6.30	3.51	13819	3425405	247.88
6.00	3.28	16199	4066445	251.03
5.70	3.04	18866	4795393	254.18
5.40	2.88	24899	6272811	251.93
5.10	2.65	29914	7635647	255.25
4.80	2.42	35479	9167065	258.38
4.50	2.18	41631	10899227	261.81
4.20	2.05	60063	15509580	258.22
3.90	1.82	71861	18851091	262.33
3.60	1.59	84207	22542440	267.70
3.30	1.46	129562	34103851	263.22
3.00	1.26	158308	42569430	268.90
2.70	1.03	186128	51377093	276.03
2.40	0.87	312885	85730367	274.00
2.10	0.73	382765	108588027	283.69
1.80	0.50	442422	130624306	295.25
1.50	0.38	807556	247928539	307.01
1.20	0.24	953000	312956474	328.39
0.90	0.02	1626974	618912529	380.41
0.60	0.02	1861359	820724173	440.93
0.30	0.00	724222	2552124839	3523.95
