pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.34	29805	10146460	340.43
9.60	7.04	29805	10146460	340.43
9.30	6.75	42006	14888099	354.43
9.00	6.61	42006	14888099	354.43
8.70	6.31	42006	14888099	354.43
8.40	6.01	42006	14888099	354.43
8.10	5.71	42006	14888099	354.43
7.80	5.44	61623	22535863	365.71
7.50	5.30	61623	22535863	365.71
7.20	5.00	61623	22535863	365.71
6.90	4.70	61623	22535863	365.71
6.60	4.40	61623	22535863	365.71
6.30	4.20	95642	36207632	378.57
6.00	4.01	95642	36207632	378.57
5.70	3.71	95642	36207632	378.57
5.40	3.41	95642	36207632	378.57
5.10	3.11	95642	36207632	378.57
4.80	3.04	159273	62461867	392.17
4.50	2.74	159273	62461867	392.17
4.20	2.44	159273	62461867	392.17
3.90	2.14	159273	62461867	392.17
3.60	2.01	284519	117706595	413.70
3.30	1.79	284519	117706595	413.70
3.00	1.49	284519	117706595	413.70
2.70	1.19	284519	117706595	413.70
2.40	1.08	518980	237741269	458.09
2.10	0.85	518980	237741269	458.09
1.80	0.55	518980	237741269	458.09
1.50	0.28	924317	521599003	564.31
1.20	0.26	924317	521599003	564.31
0.90	0.00	924317	521599003	564.31
