pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.58	3502	1314848	375.46
9.60	6.28	3502	1314848	375.46
9.30	5.98	3502	1314848	375.46
9.00	5.81	6855	2831304	413.03
8.70	5.66	6855	2831304	413.03
8.40	5.36	6855	2831304	413.03
8.10	5.06	6855	2831304	413.03
7.80	4.76	6855	2831304	413.03
7.50	4.76	13709	6161398	449.44
7.20	4.46	13709	6161398	449.44
6.90	4.16	13709	6161398	449.44
6.60	3.86	13709	6161398	449.44
6.30	3.77	28072	13851927	493.44
6.00	3.56	28072	13851927	493.44
5.70	3.26	28072	13851927	493.44
5.40	2.96	28072	13851927	493.44
5.10	2.85	57490	31655095	550.62
4.80	2.69	57490	31655095	550.62
4.50	2.39	57490	31655095	550.62
4.20	2.09	57490	31655095	550.62
3.90	2.01	122864	75445263	614.06
3.60	1.83	122864	75445263	614.06
3.30	1.53	122864	75445263	614.06
3.00	1.27	263871	189234998	717.15
2.70	1.27	263871	189234998	717.15
2.40	0.99	263871	189234998	717.15
2.10	0.69	263871	189234998	717.15
1.80	0.64	522351	487180026	932.67
1.50	0.47	522351	487180026	932.67
1.20	0.17	522351	487180026	932.67
0.90	0.15	744375	1200426534	1612.66
0.60	0.00	744375	1200426534	1612.66
