pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.53	4234	751100	177.40
9.60	6.27	4723	844347	178.77
9.30	6.04	5446	978438	179.66
9.00	5.79	6118	1107819	181.08
8.70	5.54	6924	1263620	182.50
8.40	5.28	7767	1432260	184.40
8.10	5.06	9153	1693768	185.05
7.80	4.81	10392	1941580	186.83
7.50	4.56	11809	2228267	188.69
7.20	4.31	13231	2528311	191.09
6.90	4.06	14982	2889788	192.88
6.60	3.86	18412	3563735	193.56
6.30	3.62	21326	4153611	194.77
6.00	3.37	24408	4800784	196.69
5.70	3.12	27715	5523320	199.29
5.40	2.95	36436	7213200	197.97
5.10	2.72	42253	8484353	200.80
4.80	2.47	48773	9947265	203.95
4.50	2.23	55764	11559175	207.29
4.20	2.09	78507	16095980	205.03
3.90	1.86	93447	19529015	208.98
3.60	1.62	108052	23021480	213.06
3.30	1.38	122906	26755095	217.69
3.00	1.29	197479	42489327	215.16
2.70	1.06	236351	52250450	221.07
2.40	0.82	273229	62150424	227.47
2.10	0.63	484212	110503138	228.21
1.80	0.55	592978	141154141	238.04
1.50	0.32	684565	170624492	249.25
1.20	0.11	1349572	365018111	270.47
0.90	0.11	1630226	485970568	298.10
0.60	0.00	1743889	562211949	322.39
0.30	0.00	311425	2831220050	9091.18
