pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.47	32018	15925175	497.38
9.60	7.24	40800	20988999	514.44
9.30	6.99	40800	20988999	514.44
9.00	6.69	40800	20988999	514.44
8.70	6.39	40800	20988999	514.44
8.40	6.09	40800	20988999	514.44
8.10	5.92	53442	28351914	530.52
7.80	5.62	53442	28351914	530.52
7.50	5.32	53442	28351914	530.52
7.20	5.02	53442	28351914	530.52
6.90	4.75	72388	39514415	545.87
6.60	4.57	72388	39514415	545.87
6.30	4.27	72388	39514415	545.87
6.00	3.97	72388	39514415	545.87
5.70	3.67	72388	39514415	545.87
5.40	3.53	103692	57922476	558.60
5.10	3.23	103692	57922476	558.60
4.80	2.93	103692	57922476	558.60
4.50	2.63	103692	57922476	558.60
4.20	2.53	160096	91233636	569.87
3.90	2.23	160096	91233636	569.87
3.60	1.93	160096	91233636	569.87
3.30	1.63	160096	91233636	569.87
3.00	1.57	273537	160882482	588.16
2.70	1.27	273537	160882482	588.16
2.40	0.97	273537	160882482	588.16
2.10	0.79	506951	329273795	649.52
1.80	0.65	506951	329273795	649.52
1.50	0.35	506951	329273795	649.52
1.20	0.14	878082	782902731	891.61
0.90	0.10	878082	782902731	891.61
0.60	0.00	878082	782902731	891.61
