pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.05	14783	1952980	132.11
9.60	6.84	17444	2276189	130.49
9.30	6.57	19080	2499958	131.03
9.00	6.31	20768	2736641	131.77
8.70	6.04	22477	2980665	132.61
8.40	5.77	24313	3244431	133.44
8.10	5.57	30081	3945577	131.17
7.80	5.31	32891	4343116	132.05
7.50	5.04	35967	4778839	132.87
7.20	4.77	39208	5250808	133.92
6.90	4.58	50714	6649942	131.13
6.60	4.33	56231	7425496	132.05
6.30	4.07	61664	8212031	133.17
6.00	3.80	67497	9076497	134.47
5.70	3.53	73479	9985223	135.89
5.40	3.37	101296	13507424	133.35
5.10	3.11	112199	15124671	134.80
4.80	2.84	123364	16836236	136.48
4.50	2.57	134599	18611677	138.28
4.20	2.42	194754	26586791	136.51
3.90	2.16	217212	30113286	138.64
3.60	1.90	238707	33661052	141.01
3.30	1.63	344318	48450744	140.72
3.00	1.49	390991	56193516	143.72
2.70	1.23	435297	64009705	147.05
2.40	0.96	475474	71681984	150.76
2.10	0.82	722451	111710514	154.63
1.80	0.57	811726	130138347	160.32
1.50	0.31	885241	147228668	166.31
1.20	0.13	1424681	259990378	182.49
0.90	0.00	1601585	313231822	195.58
0.60	0.00	1693392	352781042	208.33
0.30	0.00	362008	2764174678	7635.67
