pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.01	11576	4391342	379.35
9.60	6.71	11576	4391342	379.35
9.30	6.41	11576	4391342	379.35
9.00	6.11	11576	4391342	379.35
8.70	5.91	19937	8047344	403.64
8.40	5.75	19937	8047344	403.64
8.10	5.45	19937	8047344	403.64
7.80	5.15	19937	8047344	403.64
7.50	4.85	34664	15157795	437.28
7.20	4.80	34664	15157795	437.28
6.90	4.50	34664	15157795	437.28
6.60	4.20	34664	15157795	437.28
6.30	3.90	34664	15157795	437.28
6.00	3.85	61655	29092000	471.85
5.70	3.55	61655	29092000	471.85
5.40	3.25	61655	29092000	471.85
5.10	2.95	61655	29092000	471.85
4.80	2.92	112683	57787281	512.83
4.50	2.62	112683	57787281	512.83
4.20	2.32	112683	57787281	512.83
3.90	2.07	208450	118557054	568.76
3.60	2.01	208450	118557054	568.76
3.30	1.71	208450	118557054	568.76
3.00	1.41	208450	118557054	568.76
2.70	1.31	381408	250517931	656.82
2.40	1.11	381408	250517931	656.82
2.10	0.81	381408	250517931	656.82
1.80	0.65	642710	540351111	840.74
1.50	0.52	642710	540351111	840.74
1.20	0.22	642710	540351111	840.74
0.90	0.13	838318	1135740266	1354.78
0.60	0.00	838318	1135740266	1354.78
