pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.40	87	20632	237.15
9.60	5.17	115	26633	231.59
9.30	4.98	143	33243	232.47
9.00	4.76	178	41107	230.94
8.70	4.55	231	52831	228.71
8.40	4.32	293	67673	230.97
8.10	4.10	369	85733	232.34
7.80	3.94	501	114710	228.96
7.50	3.73	638	147325	230.92
7.20	3.53	843	196542	233.15
6.90	3.32	1067	249524	233.86
6.60	3.10	1378	326148	236.68
6.30	2.98	2006	470733	234.66
6.00	2.78	2640	624462	236.54
5.70	2.58	3523	841955	238.99
5.40	2.37	4488	1087463	242.30
5.10	2.18	7224	1724571	238.73
4.80	2.08	9975	2404074	241.01
4.50	1.88	12956	3171620	244.80
4.20	1.67	16851	4197716	249.11
3.90	1.45	21498	5471259	254.50
3.60	1.42	42256	10523704	249.05
3.30	1.24	57270	14641791	255.66
3.00	1.03	72654	19127326	263.27
2.70	0.80	88120	23965089	271.96
2.40	0.76	209397	56740136	270.97
2.10	0.65	271999	77075675	283.37
1.80	0.42	327553	97361080	297.24
1.50	0.23	779932	251922276	323.01
1.20	0.23	1012640	360589816	356.09
0.90	0.09	1134937	438318229	386.20
0.60	0.00	685329	2254345564	3289.44
0.30	0.00	60467	2907435613	48083.01
