pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.52	47620	15348594	322.31
9.60	7.25	47620	15348594	322.31
9.30	6.95	47620	15348594	322.31
9.00	6.65	47620	15348594	322.31
8.70	6.35	69744	23650205	339.10
8.40	6.22	69744	23650205	339.10
8.10	5.92	69744	23650205	339.10
7.80	5.62	69744	23650205	339.10
7.50	5.32	69744	23650205	339.10
7.20	5.20	103553	37287798	360.08
6.90	4.90	103553	37287798	360.08
6.60	4.60	103553	37287798	360.08
6.30	4.30	103553	37287798	360.08
6.00	4.18	156087	60284538	386.22
5.70	3.88	156087	60284538	386.22
5.40	3.58	156087	60284538	386.22
5.10	3.28	156087	60284538	386.22
4.80	3.18	237806	99455936	418.22
4.50	2.88	237806	99455936	418.22
4.20	2.58	237806	99455936	418.22
3.90	2.28	237806	99455936	418.22
3.60	2.18	362628	167602469	462.19
3.30	1.88	362628	167602469	462.19
3.00	1.58	362628	167602469	462.19
2.70	1.44	542583	284863204	525.01
2.40	1.19	542583	284863204	525.01
2.10	0.89	542583	284863204	525.01
1.80	0.70	771955	483077545	625.78
1.50	0.50	771955	483077545	625.78
1.20	0.20	771955	483077545	625.78
0.90	0.09	1008541	834492840	827.43
0.60	0.00	1008541	834492840	827.43
