pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.73	33202	12294294	370.29
9.60	7.43	33202	12294294	370.29
9.30	7.24	55200	22064393	399.72
9.00	7.02	55200	22064393	399.72
8.70	6.72	55200	22064393	399.72
8.40	6.42	55200	22064393	399.72
8.10	6.12	55200	22064393	399.72
7.80	5.99	88243	38359585	434.70
7.50	5.69	88243	38359585	434.70
7.20	5.39	88243	38359585	434.70
6.90	5.09	88243	38359585	434.70
6.60	4.91	134366	64173718	477.60
6.30	4.65	134366	64173718	477.60
6.00	4.35	134366	64173718	477.60
5.70	4.05	134366	64173718	477.60
5.40	3.81	193441	102123936	527.93
5.10	3.59	193441	102123936	527.93
4.80	3.29	193441	102123936	527.93
4.50	2.99	193441	102123936	527.93
4.20	2.76	262835	153873608	585.44
3.90	2.52	262835	153873608	585.44
3.60	2.22	262835	153873608	585.44
3.30	1.92	262835	153873608	585.44
3.00	1.75	340293	221155109	649.90
2.70	1.45	340293	221155109	649.90
2.40	1.15	340293	221155109	649.90
2.10	0.88	421447	306949240	728.32
1.80	0.66	421447	306949240	728.32
1.50	0.36	421447	306949240	728.32
1.20	0.10	509487	428779998	841.59
0.90	0.00	509487	428779998	841.59
0.60	0.00	509487	428779998	841.59
