pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.99	14730	4617922	313.50
9.60	6.69	14730	4617922	313.50
9.30	6.59	22363	7424291	331.99
9.00	6.29	22363	7424291	331.99
8.70	5.99	22363	7424291	331.99
8.40	5.69	22363	7424291	331.99
8.10	5.43	34900	12316047	352.90
7.80	5.29	34900	12316047	352.90
7.50	4.99	34900	12316047	352.90
7.20	4.69	34900	12316047	352.90
6.90	4.39	34900	12316047	352.90
6.60	4.30	56772	21425971	377.40
6.30	4.02	56772	21425971	377.40
6.00	3.72	56772	21425971	377.40
5.70	3.42	56772	21425971	377.40
5.40	3.26	96229	39027129	405.57
5.10	3.07	96229	39027129	405.57
4.80	2.77	96229	39027129	405.57
4.50	2.47	96229	39027129	405.57
4.20	2.30	173738	76377000	439.61
3.90	2.15	173738	76377000	439.61
3.60	1.85	173738	76377000	439.61
3.30	1.55	173738	76377000	439.61
3.00	1.45	334310	164728260	492.74
2.70	1.26	334310	164728260	492.74
2.40	0.96	334310	164728260	492.74
2.10	0.73	653296	393121363	601.75
1.80	0.70	653296	393121363	601.75
1.50	0.40	653296	393121363	601.75
1.20	0.16	1076268	1004504561	933.32
0.90	0.16	1076268	1004504561	933.32
0.60	0.00	1076268	1004504561	933.32
