pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.76	6799	1823772	268.24
9.60	6.46	6799	1823772	268.24
9.30	6.40	13140	3739741	284.61
9.00	6.13	13140	3739741	284.61
8.70	5.83	13140	3739741	284.61
8.40	5.53	13140	3739741	284.61
8.10	5.23	13140	3739741	284.61
7.80	5.15	25999	7909841	304.24
7.50	4.91	25999	7909841	304.24
7.20	4.61	25999	7909841	304.24
6.90	4.31	25999	7909841	304.24
6.60	4.01	25999	7909841	304.24
6.30	3.98	53510	17648059	329.81
6.00	3.72	53510	17648059	329.81
5.70	3.42	53510	17648059	329.81
5.40	3.12	53510	17648059	329.81
5.10	2.90	112899	41084489	363.90
4.80	2.84	112899	41084489	363.90
4.50	2.54	112899	41084489	363.90
4.20	2.24	112899	41084489	363.90
3.90	1.94	112899	41084489	363.90
3.60	1.92	240365	100355964	417.51
3.30	1.68	240365	100355964	417.51
3.00	1.38	240365	100355964	417.51
2.70	1.08	240365	100355964	417.51
2.40	1.05	493299	254077577	515.06
2.10	0.85	493299	254077577	515.06
1.80	0.55	493299	254077577	515.06
1.50	0.33	863916	650026708	752.42
1.20	0.32	863916	650026708	752.42
0.90	0.02	863916	650026708	752.42
