pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.70	5916	1068215	180.56
9.60	6.44	6606	1198942	181.49
9.30	6.18	7302	1334405	182.75
9.00	5.92	8129	1497801	184.25
8.70	5.65	8997	1670286	185.65
8.40	5.44	10671	1980466	185.59
8.10	5.18	11970	2243193	187.40
7.80	4.93	13397	2532299	189.02
7.50	4.67	14990	2866234	191.21
7.20	4.46	17880	3416776	191.09
6.90	4.21	20259	3905912	192.80
6.60	3.97	23256	4527485	194.68
6.30	3.71	26049	5137253	197.21
6.00	3.45	29007	5783484	199.38
5.70	3.28	37427	7408882	197.96
5.40	3.04	42746	8589863	200.95
5.10	2.79	48274	9844927	203.94
4.80	2.53	54241	11229743	207.03
4.50	2.39	75307	15386887	204.32
4.20	2.15	87011	18053011	207.48
3.90	1.90	99865	21105899	211.34
3.60	1.65	112358	24196446	215.35
3.30	1.54	174800	37073038	212.09
3.00	1.31	204458	44353007	216.93
2.70	1.06	232899	51749100	222.20
2.40	0.81	260232	59392586	228.23
2.10	0.75	467475	106621835	228.08
1.80	0.52	545522	129239283	236.91
1.50	0.27	608090	149830776	246.40
1.20	0.17	1220579	321979484	263.79
0.90	0.04	1400766	398988241	284.84
0.60	0.00	1474516	445949490	302.44
0.30	0.00	226881	2862839394	12618.24
