pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.01	12095	4736627	391.62
9.60	6.71	12095	4736627	391.62
9.30	6.61	19010	7966886	419.09
9.00	6.31	19010	7966886	419.09
8.70	6.01	19010	7966886	419.09
8.40	5.71	19010	7966886	419.09
8.10	5.60	30005	13581137	452.63
7.80	5.32	30005	13581137	452.63
7.50	5.02	30005	13581137	452.63
7.20	4.72	30005	13581137	452.63
6.90	4.57	48043	23614523	491.53
6.60	4.34	48043	23614523	491.53
6.30	4.04	48043	23614523	491.53
6.00	3.74	48043	23614523	491.53
5.70	3.60	77999	41649767	533.98
5.40	3.37	77999	41649767	533.98
5.10	3.07	77999	41649767	533.98
4.80	2.77	77999	41649767	533.98
4.50	2.70	129677	75766847	584.27
4.20	2.41	129677	75766847	584.27
3.90	2.11	129677	75766847	584.27
3.60	1.88	222034	143623375	646.85
3.30	1.77	222034	143623375	646.85
3.00	1.47	222034	143623375	646.85
2.70	1.17	222034	143623375	646.85
2.40	1.16	385566	285827024	741.32
2.10	0.86	385566	285827024	741.32
1.80	0.56	385566	285827024	741.32
1.50	0.54	641026	603402623	941.31
1.20	0.26	641026	603402623	941.31
0.90	0.07	820461	1295839520	1579.40
0.60	0.00	820461	1295839520	1579.40
