pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.49	14526	3665749	252.36
9.60	7.22	16043	4071346	253.78
9.30	7.02	21089	5392175	255.69
9.00	6.76	23222	5968689	257.03
8.70	6.50	25941	6711953	258.74
8.40	6.23	28335	7374475	260.26
8.10	5.96	31013	8119459	261.81
7.80	5.76	41085	10892731	265.13
7.50	5.49	44724	11933330	266.82
7.20	5.22	49616	13343968	268.94
6.90	4.95	53549	14513130	271.03
6.60	4.74	69065	18992997	275.00
6.30	4.48	76170	21151866	277.69
6.00	4.21	83780	23503563	280.54
5.70	3.94	90251	25549772	283.10
5.40	3.72	115227	33289225	288.90
5.10	3.45	125771	36759268	292.27
4.80	3.18	136166	40272456	295.76
4.50	2.91	146470	43816841	299.15
4.20	2.69	182303	55888686	306.57
3.90	2.42	197791	61531139	311.09
3.60	2.15	213879	67589800	316.02
3.30	1.87	227221	72801412	320.40
3.00	1.65	279991	92678006	331.00
2.70	1.38	300068	101121603	337.00
2.40	1.10	320857	110230743	343.55
2.10	0.85	385879	137685052	356.81
1.80	0.61	413984	151305279	365.49
1.50	0.33	440380	164964342	374.60
1.20	0.08	529984	210162667	396.55
0.90	0.00	574227	237318378	413.28
0.60	0.00	602836	258533451	428.86
0.30	0.00	219537	2664248204	12135.76
