pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.68	7215	2128319	294.99
9.60	6.38	7215	2128319	294.99
9.30	6.08	7215	2128319	294.99
9.00	5.86	13393	4222051	315.24
8.70	5.76	13393	4222051	315.24
8.40	5.46	13393	4222051	315.24
8.10	5.16	13393	4222051	315.24
7.80	4.86	13393	4222051	315.24
7.50	4.68	25177	8608734	341.93
7.20	4.55	25177	8608734	341.93
6.90	4.25	25177	8608734	341.93
6.60	3.95	25177	8608734	341.93
6.30	3.65	25177	8608734	341.93
6.00	3.58	49173	18431537	374.83
5.70	3.36	49173	18431537	374.83
5.40	3.06	49173	18431537	374.83
5.10	2.76	49173	18431537	374.83
4.80	2.56	100240	41488679	413.89
4.50	2.49	100240	41488679	413.89
4.20	2.19	100240	41488679	413.89
3.90	1.89	100240	41488679	413.89
3.60	1.65	218350	101695440	465.75
3.30	1.65	218350	101695440	465.75
3.00	1.36	218350	101695440	465.75
2.70	1.06	218350	101695440	465.75
2.40	0.86	492910	280584925	569.24
2.10	0.86	492910	280584925	569.24
1.80	0.57	492910	280584925	569.24
1.50	0.27	492910	280584925	569.24
1.20	0.24	964739	859914995	891.34
0.90	0.13	964739	859914995	891.34
