Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K27me3	MCW_CT_ROA_138	18193047	18193047	18193047	5892392	.3238
H3K27me3	MCW_CT_ROA_147	13145636	13145636	13145636	3084597	.2346
H3K27me3	MCW_CT_ROA_156	20213412	20213412	20213412	10984635	.5434
H3K27me3	MCW_CT_ROA_165	11649631	11649631	11649631	5573125	.4783
H3K27me3	MCW_CT_ROA_126	16469893	16469893	16469893	6629482	.4025
H3K27me3	MCW_CT_ROA_135	11793957	11793957	11793957	3547045	.3007
H3K27me3	MCW_CT_ROA_144	12887578	12887578	12887578	3412371	.2647
H3K27me3	MCW_CT_ROA_153	28699966	28699966	28699966	16327302	.5688
H3K27me3	MCW_CT_ROA_162	9294970	9294970	9294970	5202308	.5596
H3K27me3	MCW_CT_ROA_123	23742005	23742005	23742005	7220191	.3041
H3K27me3	MCW_CT_ROA_132	19053334	19053334	19053334	5279685	.2771
H3K27me3	MCW_CT_ROA_141	21294062	21294062	21294062	7067924	.3319
H3K27me3	MCW_CT_ROA_150	13110325	13110325	13110325	5976308	.4558
H3K27me3	MCW_CT_ROA_159	14195944	14195944	14195944	5308536	.3739
H3K27me3	MCW_CT_ROA_130	17579428	17579428	17579428	5303714	.3017
H3K27me3	MCW_CT_ROA_139	18371339	18371339	18371339	9257042	.5038
H3K27me3	MCW_CT_ROA_148	14368054	14368054	14368054	4342263	.3022
H3K27me3	MCW_CT_ROA_157	23135714	23135714	23135714	11787486	.5094
H3K27me3	MCW_CT_ROA_166	16995391	16995391	16995391	7999229	.4706
H3K27me3	MCW_CT_ROA_127	15646950	15646950	15646950	5303788	.3389
H3K27me3	MCW_CT_ROA_136	18255178	18255178	18255178	6583030	.3606
H3K27me3	MCW_CT_ROA_145	17971380	17971380	17971380	8334994	.4637
H3K27me3	MCW_CT_ROA_154	11932284	11932284	11932284	4290436	.3595
H3K27me3	MCW_CT_ROA_163	11882614	11882614	11882614	6851956	.5766
H3K27me3	MCW_CT_ROA_124	10242417	10242417	10242417	2879206	.2811
H3K27me3	MCW_CT_ROA_133	15058624	15058624	15058624	5115315	.3396
H3K27me3	MCW_CT_ROA_142	12924506	12924506	12924506	3806239	.2944
H3K27me3	MCW_CT_ROA_151	5618466	5618466	5618466	2279879	.4057
H3K27me3	MCW_CT_ROA_160	14296236	14296236	14296236	4951260	.3463
