Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K36me3	MCW_CT_ROA_174	8333500	8333500	8333500	2780786	.3336
H3K36me3	MCW_CT_ROA_183	9168872	9168872	9168872	3754956	.4095
H3K36me3	MCW_CT_ROA_192	8973708	8973708	8973708	5674869	.6323
H3K36me3	MCW_CT_ROA_201	6705202	6705202	6705202	2453446	.3659
H3K36me3	MCW_CT_ROA_210	6539634	6539634	6539634	4014243	.6138
H3K36me3	MCW_CT_ROA_171	17452859	17452859	17452859	7239682	.4148
H3K36me3	MCW_CT_ROA_180	13350982	13350982	13350982	4975161	.3726
H3K36me3	MCW_CT_ROA_189	10078645	10078645	10078645	5971454	.5924
H3K36me3	MCW_CT_ROA_198	9204138	9204138	9204138	4081378	.4434
H3K36me3	MCW_CT_ROA_207	11143359	11143359	11143359	7863198	.7056
H3K36me3	MCW_CT_ROA_177	9966051	9966051	9966051	6153049	.6174
H3K36me3	MCW_CT_ROA_186	14201025	14201025	14201025	6906959	.4863
H3K36me3	MCW_CT_ROA_195	12196097	12196097	12196097	6137935	.5032
H3K36me3	MCW_CT_ROA_204	16582037	16582037	16582037	10745330	.6480
H3K36me3	MCW_CT_ROA_175	951069	951069	951069	149840	.1575
H3K36me3	MCW_CT_ROA_184	9896280	9896280	9896280	4643626	.4692
H3K36me3	MCW_CT_ROA_193	8360401	8360401	8360401	2126565	.2543
H3K36me3	MCW_CT_ROA_202	6737939	6737939	6737939	2652634	.3936
H3K36me3	MCW_CT_ROA_211	8467005	8467005	8467005	4421721	.5222
H3K36me3	MCW_CT_ROA_172	7240342	7240342	7240342	2398149	.3312
H3K36me3	MCW_CT_ROA_181	13447374	13447374	13447374	3932922	.2924
H3K36me3	MCW_CT_ROA_190	9136538	9136538	9136538	4402876	.4818
H3K36me3	MCW_CT_ROA_199	5545665	5545665	5545665	1552726	.2799
H3K36me3	MCW_CT_ROA_208	6603502	6603502	6603502	3808994	.5768
H3K36me3	MCW_CT_ROA_169	10590216	10590216	10590216	5842359	.5516
H3K36me3	MCW_CT_ROA_178	8211417	8211417	8211417	1856328	.2260
H3K36me3	MCW_CT_ROA_196	9520493	9520493	9520493	3035795	.3188
H3K36me3	MCW_CT_ROA_205	14091056	14091056	14091056	8986694	.6377
