Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K9me3	MCW_CT_ROA_219	23130869	23130869	23130869	3401081	.1470
H3K9me3	MCW_CT_ROA_228	8366054	8366054	8366054	254698	.0304
H3K9me3	MCW_CT_ROA_237	19506776	19506776	19506776	3396963	.1741
H3K9me3	MCW_CT_ROA_246	17041750	17041750	17041750	5003349	.2935
H3K9me3	MCW_CT_ROA_255	10882096	10882096	10882096	3293308	.3026
H3K9me3	MCW_CT_ROA_225	11768048	11768048	11768048	697401	.0592
H3K9me3	MCW_CT_ROA_234	12692624	12692624	12692624	990935	.0780
H3K9me3	MCW_CT_ROA_243	15212314	15212314	15212314	2461382	.1618
H3K9me3	MCW_CT_ROA_252	16372424	16372424	16372424	1481506	.0904
H3K9me3	MCW_CT_ROA_213	19932945	19932945	19932945	1610770	.0808
H3K9me3	MCW_CT_ROA_222	24995209	24995209	24995209	5898957	.2360
H3K9me3	MCW_CT_ROA_231	9904669	9904669	9904669	2979853	.3008
H3K9me3	MCW_CT_ROA_240	18385836	18385836	18385836	2507444	.1363
H3K9me3	MCW_CT_ROA_249	14658547	14658547	14658547	1792178	.1222
H3K9me3	MCW_CT_ROA_220	22058010	22058010	22058010	2187011	.0991
H3K9me3	MCW_CT_ROA_229	15207032	15207032	15207032	1815349	.1193
H3K9me3	MCW_CT_ROA_238	14241113	14241113	14241113	3125480	.2194
H3K9me3	MCW_CT_ROA_247	15115900	15115900	15115900	4071417	.2693
H3K9me3	MCW_CT_ROA_256	13577790	13577790	13577790	577983	.0425
H3K9me3	MCW_CT_ROA_217	19036055	19036055	19036055	1913120	.1004
H3K9me3	MCW_CT_ROA_226	15668183	15668183	15668183	1781329	.1136
H3K9me3	MCW_CT_ROA_235	18738729	18738729	18738729	2212890	.1180
H3K9me3	MCW_CT_ROA_244	10126335	10126335	10126335	1701790	.1680
H3K9me3	MCW_CT_ROA_253	17394858	17394858	17394858	3584901	.2060
H3K9me3	MCW_CT_ROA_214	1767796	1767796	1767796	140741	.0796
H3K9me3	MCW_CT_ROA_223	17545126	17545126	17545126	3691784	.2104
H3K9me3	MCW_CT_ROA_232	12381024	12381024	12381024	809574	.0653
H3K9me3	MCW_CT_ROA_241	21802019	21802019	21802019	6313899	.2896
H3K9me3	MCW_CT_ROA_250	21432218	21432218	21432218	5947526	.2775
