Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K27me3	MCW_CT_ROA_138	18193047	18193047	18193047	11784550	.6477
H3K27me3	MCW_CT_ROA_147	13145636	13145636	13145636	5786641	.4401
H3K27me3	MCW_CT_ROA_156	20213412	20213412	20213412	13457801	.6657
H3K27me3	MCW_CT_ROA_165	11649631	11649631	11649631	7974063	.6844
H3K27me3	MCW_CT_ROA_126	16469893	16469893	16469893	9648671	.5858
H3K27me3	MCW_CT_ROA_135	11793957	11793957	11793957	6354827	.5388
H3K27me3	MCW_CT_ROA_144	12887578	12887578	12887578	7252367	.5627
H3K27me3	MCW_CT_ROA_153	28699966	28699966	28699966	19463698	.6781
H3K27me3	MCW_CT_ROA_162	9294970	9294970	9294970	6548514	.7045
H3K27me3	MCW_CT_ROA_123	23742005	23742005	23742005	11395815	.4799
H3K27me3	MCW_CT_ROA_132	19053334	19053334	19053334	9323180	.4893
H3K27me3	MCW_CT_ROA_141	21294062	21294062	21294062	11906237	.5591
H3K27me3	MCW_CT_ROA_150	13110325	13110325	13110325	7941306	.6057
H3K27me3	MCW_CT_ROA_159	14195944	14195944	14195944	9111538	.6418
H3K27me3	MCW_CT_ROA_130	17579428	17579428	17579428	8596749	.4890
H3K27me3	MCW_CT_ROA_139	18371339	18371339	18371339	12643033	.6881
H3K27me3	MCW_CT_ROA_148	14368054	14368054	14368054	8699551	.6054
H3K27me3	MCW_CT_ROA_157	23135714	23135714	23135714	15068282	.6512
H3K27me3	MCW_CT_ROA_166	16995391	16995391	16995391	12142470	.7144
H3K27me3	MCW_CT_ROA_127	15646950	15646950	15646950	7506281	.4797
H3K27me3	MCW_CT_ROA_136	18255178	18255178	18255178	11604675	.6356
H3K27me3	MCW_CT_ROA_145	17971380	17971380	17971380	12150005	.6760
H3K27me3	MCW_CT_ROA_154	11932284	11932284	11932284	6943966	.5819
H3K27me3	MCW_CT_ROA_163	11882614	11882614	11882614	8518497	.7168
H3K27me3	MCW_CT_ROA_124	10242417	10242417	10242417	5063788	.4943
H3K27me3	MCW_CT_ROA_133	15058624	15058624	15058624	9324045	.6191
H3K27me3	MCW_CT_ROA_142	12924506	12924506	12924506	6295914	.4871
H3K27me3	MCW_CT_ROA_151	5618466	5618466	5618466	3436107	.6115
H3K27me3	MCW_CT_ROA_160	14296236	14296236	14296236	8933166	.6248
