Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K36me3	MCW_CT_ROA_174	8333500	8333500	8333500	1168205	.1401
H3K36me3	MCW_CT_ROA_183	9168872	9168872	9168872	3799222	.4143
H3K36me3	MCW_CT_ROA_192	8973708	8973708	8973708	4716702	.5256
H3K36me3	MCW_CT_ROA_201	6705202	6705202	6705202	2775195	.4138
H3K36me3	MCW_CT_ROA_210	6539634	6539634	6539634	3339709	.5106
H3K36me3	MCW_CT_ROA_171	17452859	17452859	17452859	6708107	.3843
H3K36me3	MCW_CT_ROA_180	13350982	13350982	13350982	4647379	.3480
H3K36me3	MCW_CT_ROA_189	10078645	10078645	10078645	4183705	.4151
H3K36me3	MCW_CT_ROA_198	9204138	9204138	9204138	4078979	.4431
H3K36me3	MCW_CT_ROA_207	11143359	11143359	11143359	6272994	.5629
H3K36me3	MCW_CT_ROA_177	9966051	9966051	9966051	5079206	.5096
H3K36me3	MCW_CT_ROA_186	14201025	14201025	14201025	5455346	.3841
H3K36me3	MCW_CT_ROA_195	12196097	12196097	12196097	5777966	.4737
H3K36me3	MCW_CT_ROA_204	16582037	16582037	16582037	10306102	.6215
H3K36me3	MCW_CT_ROA_175	951069	951069	951069	335835	.3531
H3K36me3	MCW_CT_ROA_184	9896280	9896280	9896280	2933996	.2964
H3K36me3	MCW_CT_ROA_193	8360401	8360401	8360401	1655846	.1980
H3K36me3	MCW_CT_ROA_202	6737939	6737939	6737939	2973362	.4412
H3K36me3	MCW_CT_ROA_211	8467005	8467005	8467005	3984812	.4706
H3K36me3	MCW_CT_ROA_172	7240342	7240342	7240342	3242233	.4478
H3K36me3	MCW_CT_ROA_181	13447374	13447374	13447374	3924813	.2918
H3K36me3	MCW_CT_ROA_190	9136538	9136538	9136538	4374530	.4787
H3K36me3	MCW_CT_ROA_199	5545665	5545665	5545665	1921647	.3465
H3K36me3	MCW_CT_ROA_208	6603502	6603502	6603502	3156261	.4779
H3K36me3	MCW_CT_ROA_169	10590216	10590216	10590216	5531261	.5222
H3K36me3	MCW_CT_ROA_178	8211417	8211417	8211417	3155623	.3842
H3K36me3	MCW_CT_ROA_196	9520493	9520493	9520493	3893941	.4090
H3K36me3	MCW_CT_ROA_205	14091056	14091056	14091056	7427032	.5270
