Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K9me3	MCW_CT_ROA_219	23130869	23130869	23130869	4051398	.1751
H3K9me3	MCW_CT_ROA_228	8366054	8366054	8366054	221598	.0264
H3K9me3	MCW_CT_ROA_237	19506776	19506776	19506776	4021259	.2061
H3K9me3	MCW_CT_ROA_246	17041750	17041750	17041750	4851645	.2846
H3K9me3	MCW_CT_ROA_255	10882096	10882096	10882096	4850827	.4457
H3K9me3	MCW_CT_ROA_225	11768048	11768048	11768048	573916	.0487
H3K9me3	MCW_CT_ROA_234	12692624	12692624	12692624	939374	.0740
H3K9me3	MCW_CT_ROA_243	15212314	15212314	15212314	2712640	.1783
H3K9me3	MCW_CT_ROA_252	16372424	16372424	16372424	1662526	.1015
H3K9me3	MCW_CT_ROA_213	19932945	19932945	19932945	1617273	.0811
H3K9me3	MCW_CT_ROA_222	24995209	24995209	24995209	7512509	.3005
H3K9me3	MCW_CT_ROA_231	9904669	9904669	9904669	4140882	.4180
H3K9me3	MCW_CT_ROA_240	18385836	18385836	18385836	2476245	.1346
H3K9me3	MCW_CT_ROA_249	14658547	14658547	14658547	1998850	.1363
H3K9me3	MCW_CT_ROA_220	22058010	22058010	22058010	1919020	.0869
H3K9me3	MCW_CT_ROA_229	15207032	15207032	15207032	2082514	.1369
H3K9me3	MCW_CT_ROA_238	14241113	14241113	14241113	4407888	.3095
H3K9me3	MCW_CT_ROA_247	15115900	15115900	15115900	3749775	.2480
H3K9me3	MCW_CT_ROA_256	13577790	13577790	13577790	590356	.0434
H3K9me3	MCW_CT_ROA_217	19036055	19036055	19036055	2836755	.1490
H3K9me3	MCW_CT_ROA_226	15668183	15668183	15668183	2492580	.1590
H3K9me3	MCW_CT_ROA_235	18738729	18738729	18738729	2140499	.1142
H3K9me3	MCW_CT_ROA_244	10126335	10126335	10126335	2127582	.2101
H3K9me3	MCW_CT_ROA_253	17394858	17394858	17394858	4088350	.2350
H3K9me3	MCW_CT_ROA_214	1767796	1767796	1767796	307999	.1742
H3K9me3	MCW_CT_ROA_223	17545126	17545126	17545126	5100487	.2907
H3K9me3	MCW_CT_ROA_232	12381024	12381024	12381024	1169509	.0944
H3K9me3	MCW_CT_ROA_241	21802019	21802019	21802019	6247630	.2865
H3K9me3	MCW_CT_ROA_250	21432218	21432218	21432218	7010934	.3271
