Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K36me3	MCW_CT_ROA_174	8333500	8333500	8333500	5550377	.6660
H3K36me3	MCW_CT_ROA_183	9168872	9168872	9168872	7624350	.8315
H3K36me3	MCW_CT_ROA_192	8973708	8973708	8973708	6916878	.7707
H3K36me3	MCW_CT_ROA_201	6705202	6705202	6705202	5540667	.8263
H3K36me3	MCW_CT_ROA_210	6539634	6539634	6539634	5479319	.8378
H3K36me3	MCW_CT_ROA_171	17452859	17452859	17452859	13322500	.7633
H3K36me3	MCW_CT_ROA_180	13350982	13350982	13350982	9434295	.7066
H3K36me3	MCW_CT_ROA_189	10078645	10078645	10078645	7581398	.7522
H3K36me3	MCW_CT_ROA_198	9204138	9204138	9204138	7248551	.7875
H3K36me3	MCW_CT_ROA_207	11143359	11143359	11143359	8928035	.8011
H3K36me3	MCW_CT_ROA_177	9966051	9966051	9966051	8903007	.8933
H3K36me3	MCW_CT_ROA_186	14201025	14201025	14201025	11405828	.8031
H3K36me3	MCW_CT_ROA_195	12196097	12196097	12196097	9931589	.8143
H3K36me3	MCW_CT_ROA_204	16582037	16582037	16582037	13642994	.8227
H3K36me3	MCW_CT_ROA_175	951069	951069	951069	506195	.5322
H3K36me3	MCW_CT_ROA_184	9896280	9896280	9896280	8794449	.8886
H3K36me3	MCW_CT_ROA_193	8360401	8360401	8360401	7541578	.9020
H3K36me3	MCW_CT_ROA_202	6737939	6737939	6737939	4839313	.7182
H3K36me3	MCW_CT_ROA_211	8467005	8467005	8467005	7129899	.8420
H3K36me3	MCW_CT_ROA_172	7240342	7240342	7240342	5738084	.7925
H3K36me3	MCW_CT_ROA_181	13447374	13447374	13447374	8979997	.6677
H3K36me3	MCW_CT_ROA_190	9136538	9136538	9136538	6760907	.7399
H3K36me3	MCW_CT_ROA_199	5545665	5545665	5545665	4579951	.8258
H3K36me3	MCW_CT_ROA_208	6603502	6603502	6603502	5859493	.8873
H3K36me3	MCW_CT_ROA_169	10590216	10590216	10590216	9116899	.8608
H3K36me3	MCW_CT_ROA_178	8211417	8211417	8211417	6522957	.7943
H3K36me3	MCW_CT_ROA_196	9520493	9520493	9520493	7840019	.8234
H3K36me3	MCW_CT_ROA_205	14091056	14091056	14091056	12115055	.8597
