Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K9me3	MCW_CT_ROA_219	23130869	23130869	23130869	18641315	.8059
H3K9me3	MCW_CT_ROA_228	8366054	8366054	8366054	4223131	.5047
H3K9me3	MCW_CT_ROA_237	19506776	19506776	19506776	16538805	.8478
H3K9me3	MCW_CT_ROA_246	17041750	17041750	17041750	13387695	.7855
H3K9me3	MCW_CT_ROA_255	10882096	10882096	10882096	7936581	.7293
H3K9me3	MCW_CT_ROA_225	11768048	11768048	11768048	6973548	.5925
H3K9me3	MCW_CT_ROA_234	12692624	12692624	12692624	7248360	.5710
H3K9me3	MCW_CT_ROA_243	15212314	15212314	15212314	10155566	.6675
H3K9me3	MCW_CT_ROA_252	16372424	16372424	16372424	12256432	.7486
H3K9me3	MCW_CT_ROA_213	19932945	19932945	19932945	11742793	.5891
H3K9me3	MCW_CT_ROA_222	24995209	24995209	24995209	18347908	.7340
H3K9me3	MCW_CT_ROA_231	9904669	9904669	9904669	6632475	.6696
H3K9me3	MCW_CT_ROA_240	18385836	18385836	18385836	12150469	.6608
H3K9me3	MCW_CT_ROA_249	14658547	14658547	14658547	9950484	.6788
H3K9me3	MCW_CT_ROA_220	22058010	22058010	22058010	16589001	.7520
H3K9me3	MCW_CT_ROA_229	15207032	15207032	15207032	9299449	.6115
H3K9me3	MCW_CT_ROA_238	14241113	14241113	14241113	11584746	.8134
H3K9me3	MCW_CT_ROA_247	15115900	15115900	15115900	10728319	.7097
H3K9me3	MCW_CT_ROA_256	13577790	13577790	13577790	9094218	.6697
H3K9me3	MCW_CT_ROA_217	19036055	19036055	19036055	11543111	.6063
H3K9me3	MCW_CT_ROA_226	15668183	15668183	15668183	9348739	.5966
H3K9me3	MCW_CT_ROA_235	18738729	18738729	18738729	14151673	.7552
H3K9me3	MCW_CT_ROA_244	10126335	10126335	10126335	8209664	.8107
H3K9me3	MCW_CT_ROA_253	17394858	17394858	17394858	13403473	.7705
H3K9me3	MCW_CT_ROA_214	1767796	1767796	1767796	955829	.5406
H3K9me3	MCW_CT_ROA_223	17545126	17545126	17545126	14841903	.8459
H3K9me3	MCW_CT_ROA_232	12381024	12381024	12381024	7230298	.5839
H3K9me3	MCW_CT_ROA_241	21802019	21802019	21802019	16446607	.7543
H3K9me3	MCW_CT_ROA_250	21432218	21432218	21432218	17032703	.7947
