Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K27me3	MCW_CT_ROA_138	18046287	18046287	18046287	6059235	.3357
H3K27me3	MCW_CT_ROA_147	13094526	13094526	13094526	4260047	.3253
H3K27me3	MCW_CT_ROA_156	19766594	19766594	19766594	10098029	.5108
H3K27me3	MCW_CT_ROA_165	11615317	11615317	11615317	4774171	.4110
H3K27me3	MCW_CT_ROA_126	16230571	16230571	16230571	6493588	.4000
H3K27me3	MCW_CT_ROA_135	11742639	11742639	11742639	4196717	.3573
H3K27me3	MCW_CT_ROA_144	12833794	12833794	12833794	5148217	.4011
H3K27me3	MCW_CT_ROA_153	28445462	28445462	28445462	15912738	.5594
H3K27me3	MCW_CT_ROA_162	9228392	9228392	9228392	5287185	.5729
H3K27me3	MCW_CT_ROA_123	23647967	23647967	23647967	8645672	.3655
H3K27me3	MCW_CT_ROA_132	18978938	18978938	18978938	6676773	.3517
H3K27me3	MCW_CT_ROA_141	21220348	21220348	21220348	7375874	.3475
H3K27me3	MCW_CT_ROA_150	13009563	13009563	13009563	6707694	.5155
H3K27me3	MCW_CT_ROA_159	14098606	14098606	14098606	4731900	.3356
H3K27me3	MCW_CT_ROA_130	17498190	17498190	17498190	6714981	.3837
H3K27me3	MCW_CT_ROA_139	18187745	18187745	18187745	9043230	.4972
H3K27me3	MCW_CT_ROA_148	14285736	14285736	14285736	5961400	.4172
H3K27me3	MCW_CT_ROA_157	22818436	22818436	22818436	12218888	.5354
H3K27me3	MCW_CT_ROA_166	16953551	16953551	16953551	7340246	.4329
H3K27me3	MCW_CT_ROA_127	15555718	15555718	15555718	7446144	.4786
H3K27me3	MCW_CT_ROA_136	18181670	18181670	18181670	8288957	.4558
H3K27me3	MCW_CT_ROA_145	17755284	17755284	17755284	7768881	.4375
H3K27me3	MCW_CT_ROA_154	11852632	11852632	11852632	4905158	.4138
H3K27me3	MCW_CT_ROA_163	11778704	11778704	11778704	6203940	.5267
H3K27me3	MCW_CT_ROA_124	10190235	10190235	10190235	4319467	.4238
H3K27me3	MCW_CT_ROA_133	14981954	14981954	14981954	6758785	.4511
H3K27me3	MCW_CT_ROA_142	12894130	12894130	12894130	4966758	.3851
H3K27me3	MCW_CT_ROA_151	5531290	5531290	5531290	2304155	.4165
H3K27me3	MCW_CT_ROA_160	14236294	14236294	14236294	4638218	.3258
