Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K36me3	MCW_CT_ROA_174	8306322	8306322	8306322	3864889	.4652
H3K36me3	MCW_CT_ROA_183	9060422	9060422	9060422	5515345	.6087
H3K36me3	MCW_CT_ROA_192	8934096	8934096	8934096	6889523	.7711
H3K36me3	MCW_CT_ROA_201	6684188	6684188	6684188	3883464	.5809
H3K36me3	MCW_CT_ROA_210	6507832	6507832	6507832	4811200	.7392
H3K36me3	MCW_CT_ROA_171	17331845	17331845	17331845	9815802	.5663
H3K36me3	MCW_CT_ROA_180	13279030	13279030	13279030	6777492	.5103
H3K36me3	MCW_CT_ROA_189	10048621	10048621	10048621	7559737	.7523
H3K36me3	MCW_CT_ROA_198	9019528	9019528	9019528	5386801	.5972
H3K36me3	MCW_CT_ROA_207	11097947	11097947	11097947	8895443	.8015
H3K36me3	MCW_CT_ROA_177	9875183	9875183	9875183	7531762	.7626
H3K36me3	MCW_CT_ROA_186	14123005	14123005	14123005	8944275	.6333
H3K36me3	MCW_CT_ROA_195	11985305	11985305	11985305	7819900	.6524
H3K36me3	MCW_CT_ROA_204	16553129	16553129	16553129	12315145	.7439
H3K36me3	MCW_CT_ROA_175	931943	931943	931943	498459	.5348
H3K36me3	MCW_CT_ROA_184	9838630	9838630	9838630	6497345	.6603
H3K36me3	MCW_CT_ROA_193	8337489	8337489	8337489	5243523	.6289
H3K36me3	MCW_CT_ROA_202	6650301	6650301	6650301	3667789	.5515
H3K36me3	MCW_CT_ROA_211	8389639	8389639	8389639	5705072	.6800
H3K36me3	MCW_CT_ROA_172	7174542	7174542	7174542	3985073	.5554
H3K36me3	MCW_CT_ROA_181	13384552	13384552	13384552	5866360	.4382
H3K36me3	MCW_CT_ROA_190	9075120	9075120	9075120	5467836	.6025
H3K36me3	MCW_CT_ROA_199	5519927	5519927	5519927	2872019	.5203
H3K36me3	MCW_CT_ROA_208	6564916	6564916	6564916	4880743	.7434
H3K36me3	MCW_CT_ROA_169	10547508	10547508	10547508	7548114	.7156
H3K36me3	MCW_CT_ROA_178	8109097	8109097	8109097	3782490	.4664
H3K36me3	MCW_CT_ROA_196	9446757	9446757	9446757	5199777	.5504
H3K36me3	MCW_CT_ROA_205	14028500	14028500	14028500	10542964	.7515
