Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K36me3	MCW_CT_ROA_174	8333500	8333500	8333500	132502	.0158
H3K36me3	MCW_CT_ROA_183	9168872	9168872	9168872	1720336	.1876
H3K36me3	MCW_CT_ROA_192	8973708	8973708	8973708	2306431	.2570
H3K36me3	MCW_CT_ROA_201	6705202	6705202	6705202	1175552	.1753
H3K36me3	MCW_CT_ROA_210	6539634	6539634	6539634	1993029	.3047
H3K36me3	MCW_CT_ROA_171	17452859	17452859	17452859	2603060	.1491
H3K36me3	MCW_CT_ROA_180	13350982	13350982	13350982	2249692	.1685
H3K36me3	MCW_CT_ROA_189	10078645	10078645	10078645	2263017	.2245
H3K36me3	MCW_CT_ROA_198	9204138	9204138	9204138	2452737	.2664
H3K36me3	MCW_CT_ROA_207	11143359	11143359	11143359	4394831	.3943
H3K36me3	MCW_CT_ROA_177	9966051	9966051	9966051	2620535	.2629
H3K36me3	MCW_CT_ROA_186	14201025	14201025	14201025	2003231	.1410
H3K36me3	MCW_CT_ROA_195	12196097	12196097	12196097	3584209	.2938
H3K36me3	MCW_CT_ROA_204	16582037	16582037	16582037	7451528	.4493
H3K36me3	MCW_CT_ROA_175	951069	951069	951069	85443	.0898
H3K36me3	MCW_CT_ROA_184	9896280	9896280	9896280	1420231	.1435
H3K36me3	MCW_CT_ROA_193	8360401	8360401	8360401	457781	.0547
H3K36me3	MCW_CT_ROA_202	6737939	6737939	6737939	1792794	.2660
H3K36me3	MCW_CT_ROA_211	8467005	8467005	8467005	2367163	.2795
H3K36me3	MCW_CT_ROA_172	7240342	7240342	7240342	1530627	.2114
H3K36me3	MCW_CT_ROA_181	13447374	13447374	13447374	1562828	.1162
H3K36me3	MCW_CT_ROA_190	9136538	9136538	9136538	3103669	.3396
H3K36me3	MCW_CT_ROA_199	5545665	5545665	5545665	610590	.1101
H3K36me3	MCW_CT_ROA_208	6603502	6603502	6603502	1679571	.2543
H3K36me3	MCW_CT_ROA_169	10590216	10590216	10590216	2730063	.2577
H3K36me3	MCW_CT_ROA_178	8211417	8211417	8211417	1129449	.1375
H3K36me3	MCW_CT_ROA_196	9520493	9520493	9520493	1510944	.1587
H3K36me3	MCW_CT_ROA_205	14091056	14091056	14091056	4688783	.3327
