Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K9me3	MCW_CT_ROA_219	23130869	23130869	23130869	10167618	.4395
H3K9me3	MCW_CT_ROA_228	8366054	8366054	8366054	1125814	.1345
H3K9me3	MCW_CT_ROA_237	19506776	19506776	19506776	7887570	.4043
H3K9me3	MCW_CT_ROA_246	17041750	17041750	17041750	8067319	.4733
H3K9me3	MCW_CT_ROA_255	10882096	10882096	10882096	6445695	.5923
H3K9me3	MCW_CT_ROA_225	11768048	11768048	11768048	2224875	.1890
H3K9me3	MCW_CT_ROA_234	12692624	12692624	12692624	2678396	.2110
H3K9me3	MCW_CT_ROA_243	15212314	15212314	15212314	5252309	.3452
H3K9me3	MCW_CT_ROA_252	16372424	16372424	16372424	5495281	.3356
H3K9me3	MCW_CT_ROA_213	19932945	19932945	19932945	4594876	.2305
H3K9me3	MCW_CT_ROA_222	24995209	24995209	24995209	11964896	.4786
H3K9me3	MCW_CT_ROA_231	9904669	9904669	9904669	5803605	.5859
H3K9me3	MCW_CT_ROA_240	18385836	18385836	18385836	5509918	.2996
H3K9me3	MCW_CT_ROA_249	14658547	14658547	14658547	4726101	.3224
H3K9me3	MCW_CT_ROA_220	22058010	22058010	22058010	4822086	.2186
H3K9me3	MCW_CT_ROA_229	15207032	15207032	15207032	4433816	.2915
H3K9me3	MCW_CT_ROA_238	14241113	14241113	14241113	7221689	.5071
H3K9me3	MCW_CT_ROA_247	15115900	15115900	15115900	6031464	.3990
H3K9me3	MCW_CT_ROA_256	13577790	13577790	13577790	2991724	.2203
H3K9me3	MCW_CT_ROA_217	19036055	19036055	19036055	5944245	.3122
H3K9me3	MCW_CT_ROA_226	15668183	15668183	15668183	4876923	.3112
H3K9me3	MCW_CT_ROA_235	18738729	18738729	18738729	4705947	.2511
H3K9me3	MCW_CT_ROA_244	10126335	10126335	10126335	4080504	.4029
H3K9me3	MCW_CT_ROA_253	17394858	17394858	17394858	7870338	.4524
H3K9me3	MCW_CT_ROA_214	1767796	1767796	1767796	698993	.3954
H3K9me3	MCW_CT_ROA_223	17545126	17545126	17545126	8881703	.5062
H3K9me3	MCW_CT_ROA_232	12381024	12381024	12381024	3175409	.2564
H3K9me3	MCW_CT_ROA_241	21802019	21802019	21802019	9921401	.4550
H3K9me3	MCW_CT_ROA_250	21432218	21432218	21432218	11284418	.5265
