Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K36me3	MCW_CT_ROA_174	8306322	8306322	8306322	1406148	.1692
H3K36me3	MCW_CT_ROA_183	9060422	9060422	9060422	2000442	.2207
H3K36me3	MCW_CT_ROA_192	8934096	8934096	8934096	3722043	.4166
H3K36me3	MCW_CT_ROA_201	6684188	6684188	6684188	1238107	.1852
H3K36me3	MCW_CT_ROA_210	6507832	6507832	6507832	2421624	.3721
H3K36me3	MCW_CT_ROA_171	17331845	17331845	17331845	4267817	.2462
H3K36me3	MCW_CT_ROA_180	13279030	13279030	13279030	3156729	.2377
H3K36me3	MCW_CT_ROA_189	10048621	10048621	10048621	3811938	.3793
H3K36me3	MCW_CT_ROA_198	9019528	9019528	9019528	2318562	.2570
H3K36me3	MCW_CT_ROA_207	11097947	11097947	11097947	5663673	.5103
H3K36me3	MCW_CT_ROA_177	9875183	9875183	9875183	4030815	.4081
H3K36me3	MCW_CT_ROA_186	14123005	14123005	14123005	4146289	.2935
H3K36me3	MCW_CT_ROA_195	11985305	11985305	11985305	3580329	.2987
H3K36me3	MCW_CT_ROA_204	16553129	16553129	16553129	7138003	.4312
H3K36me3	MCW_CT_ROA_175	931943	931943	931943	122350	.1312
H3K36me3	MCW_CT_ROA_184	9838630	9838630	9838630	2817185	.2863
H3K36me3	MCW_CT_ROA_193	8337489	8337489	8337489	1058609	.1269
H3K36me3	MCW_CT_ROA_202	6650301	6650301	6650301	2073189	.3117
H3K36me3	MCW_CT_ROA_211	8389639	8389639	8389639	2589735	.3086
H3K36me3	MCW_CT_ROA_172	7174542	7174542	7174542	1009045	.1406
H3K36me3	MCW_CT_ROA_181	13384552	13384552	13384552	2190006	.1636
H3K36me3	MCW_CT_ROA_190	9075120	9075120	9075120	3468796	.3822
H3K36me3	MCW_CT_ROA_199	5519927	5519927	5519927	638988	.1157
H3K36me3	MCW_CT_ROA_208	6564916	6564916	6564916	2274373	.3464
H3K36me3	MCW_CT_ROA_169	10547508	10547508	10547508	3722153	.3528
H3K36me3	MCW_CT_ROA_178	8109097	8109097	8109097	655360	.0808
H3K36me3	MCW_CT_ROA_196	9446757	9446757	9446757	1314818	.1391
H3K36me3	MCW_CT_ROA_205	14028500	14028500	14028500	6323013	.4507
