Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K27me3	MCW_CT_ROA_138	18193047	18193047	18193047	8757979	.4813
H3K27me3	MCW_CT_ROA_147	13145636	13145636	13145636	7215997	.5489
H3K27me3	MCW_CT_ROA_156	20213412	20213412	20213412	13165242	.6513
H3K27me3	MCW_CT_ROA_165	11649631	11649631	11649631	7308170	.6273
H3K27me3	MCW_CT_ROA_126	16469893	16469893	16469893	9411319	.5714
H3K27me3	MCW_CT_ROA_135	11793957	11793957	11793957	5779268	.4900
H3K27me3	MCW_CT_ROA_144	12887578	12887578	12887578	7068768	.5484
H3K27me3	MCW_CT_ROA_153	28699966	28699966	28699966	19357033	.6744
H3K27me3	MCW_CT_ROA_162	9294970	9294970	9294970	6912074	.7436
H3K27me3	MCW_CT_ROA_123	23742005	23742005	23742005	11478132	.4834
H3K27me3	MCW_CT_ROA_132	19053334	19053334	19053334	9288283	.4874
H3K27me3	MCW_CT_ROA_141	21294062	21294062	21294062	10637861	.4995
H3K27me3	MCW_CT_ROA_150	13110325	13110325	13110325	8698264	.6634
H3K27me3	MCW_CT_ROA_159	14195944	14195944	14195944	7294070	.5138
H3K27me3	MCW_CT_ROA_130	17579428	17579428	17579428	8912801	.5070
H3K27me3	MCW_CT_ROA_139	18371339	18371339	18371339	11757846	.6400
H3K27me3	MCW_CT_ROA_148	14368054	14368054	14368054	8317981	.5789
H3K27me3	MCW_CT_ROA_157	23135714	23135714	23135714	14905692	.6442
H3K27me3	MCW_CT_ROA_166	16995391	16995391	16995391	10262244	.6038
H3K27me3	MCW_CT_ROA_127	15646950	15646950	15646950	9009867	.5758
H3K27me3	MCW_CT_ROA_136	18255178	18255178	18255178	10957511	.6002
H3K27me3	MCW_CT_ROA_145	17971380	17971380	17971380	10913505	.6072
H3K27me3	MCW_CT_ROA_154	11932284	11932284	11932284	6530264	.5472
H3K27me3	MCW_CT_ROA_163	11882614	11882614	11882614	8099862	.6816
H3K27me3	MCW_CT_ROA_124	10242417	10242417	10242417	5582604	.5450
H3K27me3	MCW_CT_ROA_133	15058624	15058624	15058624	8992157	.5971
H3K27me3	MCW_CT_ROA_142	12924506	12924506	12924506	7724184	.5976
H3K27me3	MCW_CT_ROA_151	5618466	5618466	5618466	2676333	.4763
H3K27me3	MCW_CT_ROA_160	14296236	14296236	14296236	7220007	.5050
