Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K9me3	MCW_CT_ROA_219	23011785	23011785	23011785	13611930	.5915
H3K9me3	MCW_CT_ROA_228	8321182	8321182	8321182	1839468	.2210
H3K9me3	MCW_CT_ROA_237	19488272	19488272	19488272	13226121	.6786
H3K9me3	MCW_CT_ROA_246	16987504	16987504	16987504	10252299	.6035
H3K9me3	MCW_CT_ROA_255	10854362	10854362	10854362	6882166	.6340
H3K9me3	MCW_CT_ROA_225	11704740	11704740	11704740	3571276	.3051
H3K9me3	MCW_CT_ROA_234	12629648	12629648	12629648	3937156	.3117
H3K9me3	MCW_CT_ROA_243	15004746	15004746	15004746	6551318	.4366
H3K9me3	MCW_CT_ROA_252	16314870	16314870	16314870	8148382	.4994
H3K9me3	MCW_CT_ROA_213	19477841	19477841	19477841	6331236	.3250
H3K9me3	MCW_CT_ROA_222	24710461	24710461	24710461	13861744	.5609
H3K9me3	MCW_CT_ROA_231	9836023	9836023	9836023	6580224	.6689
H3K9me3	MCW_CT_ROA_240	18261730	18261730	18261730	7560526	.4140
H3K9me3	MCW_CT_ROA_249	14465523	14465523	14465523	6196380	.4283
H3K9me3	MCW_CT_ROA_220	21997160	21997160	21997160	10814012	.4916
H3K9me3	MCW_CT_ROA_229	15021314	15021314	15021314	5466372	.3639
H3K9me3	MCW_CT_ROA_238	13962889	13962889	13962889	8558051	.6129
H3K9me3	MCW_CT_ROA_247	14979888	14979888	14979888	7696221	.5137
H3K9me3	MCW_CT_ROA_256	13553148	13553148	13553148	5216130	.3848
H3K9me3	MCW_CT_ROA_217	18736051	18736051	18736051	6614302	.3530
H3K9me3	MCW_CT_ROA_226	15496623	15496623	15496623	9208241	.5942
H3K9me3	MCW_CT_ROA_235	18649139	18649139	18649139	9640862	.5169
H3K9me3	MCW_CT_ROA_244	9993635	9993635	9993635	5092888	.5096
H3K9me3	MCW_CT_ROA_253	17324002	17324002	17324002	9694249	.5595
H3K9me3	MCW_CT_ROA_214	1743592	1743592	1743592	947353	.5433
H3K9me3	MCW_CT_ROA_223	17233554	17233554	17233554	10711544	.6215
H3K9me3	MCW_CT_ROA_232	12253630	12253630	12253630	3842734	.3135
H3K9me3	MCW_CT_ROA_241	21646109	21646109	21646109	12337982	.5699
H3K9me3	MCW_CT_ROA_250	21237774	21237774	21237774	13333368	.6278
