Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K27me3	MCW_CT_ROA_138	18193047	18193047	18193047	3202620	.1760
H3K27me3	MCW_CT_ROA_147	13145636	13145636	13145636	1547495	.1177
H3K27me3	MCW_CT_ROA_156	20213412	20213412	20213412	8710121	.4309
H3K27me3	MCW_CT_ROA_165	11649631	11649631	11649631	3172716	.2723
H3K27me3	MCW_CT_ROA_126	16469893	16469893	16469893	4539855	.2756
H3K27me3	MCW_CT_ROA_135	11793957	11793957	11793957	2038019	.1728
H3K27me3	MCW_CT_ROA_144	12887578	12887578	12887578	2019747	.1567
H3K27me3	MCW_CT_ROA_153	28699966	28699966	28699966	13307366	.4636
H3K27me3	MCW_CT_ROA_162	9294970	9294970	9294970	3731468	.4014
H3K27me3	MCW_CT_ROA_123	23742005	23742005	23742005	4416446	.1860
H3K27me3	MCW_CT_ROA_132	19053334	19053334	19053334	2559366	.1343
H3K27me3	MCW_CT_ROA_141	21294062	21294062	21294062	3591915	.1686
H3K27me3	MCW_CT_ROA_150	13110325	13110325	13110325	4468358	.3408
H3K27me3	MCW_CT_ROA_159	14195944	14195944	14195944	2228991	.1570
H3K27me3	MCW_CT_ROA_130	17579428	17579428	17579428	3096873	.1761
H3K27me3	MCW_CT_ROA_139	18371339	18371339	18371339	5892937	.3207
H3K27me3	MCW_CT_ROA_148	14368054	14368054	14368054	2473861	.1721
H3K27me3	MCW_CT_ROA_157	23135714	23135714	23135714	9376401	.4052
H3K27me3	MCW_CT_ROA_166	16995391	16995391	16995391	5139013	.3023
H3K27me3	MCW_CT_ROA_127	15646950	15646950	15646950	3837157	.2452
H3K27me3	MCW_CT_ROA_136	18255178	18255178	18255178	4277361	.2343
H3K27me3	MCW_CT_ROA_145	17971380	17971380	17971380	4609375	.2564
H3K27me3	MCW_CT_ROA_154	11932284	11932284	11932284	2596225	.2175
H3K27me3	MCW_CT_ROA_163	11882614	11882614	11882614	5043001	.4244
H3K27me3	MCW_CT_ROA_124	10242417	10242417	10242417	1710586	.1670
H3K27me3	MCW_CT_ROA_133	15058624	15058624	15058624	3262933	.2166
H3K27me3	MCW_CT_ROA_142	12924506	12924506	12924506	2171742	.1680
H3K27me3	MCW_CT_ROA_151	5618466	5618466	5618466	1559178	.2775
H3K27me3	MCW_CT_ROA_160	14296236	14296236	14296236	1962947	.1373
