Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K27me3	MCW_CT_ROA_138	18193047	18193047	18193047	6149841	.3380
H3K27me3	MCW_CT_ROA_147	13145636	13145636	13145636	4284731	.3259
H3K27me3	MCW_CT_ROA_156	20213412	20213412	20213412	10397543	.5143
H3K27me3	MCW_CT_ROA_165	11649631	11649631	11649631	4801253	.4121
H3K27me3	MCW_CT_ROA_126	16469893	16469893	16469893	6641423	.4032
H3K27me3	MCW_CT_ROA_135	11793957	11793957	11793957	4222553	.3580
H3K27me3	MCW_CT_ROA_144	12887578	12887578	12887578	5183318	.4021
H3K27me3	MCW_CT_ROA_153	28699966	28699966	28699966	16085880	.5604
H3K27me3	MCW_CT_ROA_162	9294970	9294970	9294970	5343128	.5748
H3K27me3	MCW_CT_ROA_123	23742005	23742005	23742005	8695142	.3662
H3K27me3	MCW_CT_ROA_132	19053334	19053334	19053334	6722144	.3528
H3K27me3	MCW_CT_ROA_141	21294062	21294062	21294062	7414084	.3481
H3K27me3	MCW_CT_ROA_150	13110325	13110325	13110325	6772661	.5165
H3K27me3	MCW_CT_ROA_159	14195944	14195944	14195944	4787289	.3372
H3K27me3	MCW_CT_ROA_130	17579428	17579428	17579428	6763464	.3847
H3K27me3	MCW_CT_ROA_139	18371339	18371339	18371339	9157639	.4984
H3K27me3	MCW_CT_ROA_148	14368054	14368054	14368054	6015057	.4186
H3K27me3	MCW_CT_ROA_157	23135714	23135714	23135714	12419123	.5367
H3K27me3	MCW_CT_ROA_166	16995391	16995391	16995391	7378029	.4341
H3K27me3	MCW_CT_ROA_127	15646950	15646950	15646950	7499975	.4793
H3K27me3	MCW_CT_ROA_136	18255178	18255178	18255178	8331756	.4564
H3K27me3	MCW_CT_ROA_145	17971380	17971380	17971380	7910923	.4401
H3K27me3	MCW_CT_ROA_154	11932284	11932284	11932284	4950932	.4149
H3K27me3	MCW_CT_ROA_163	11882614	11882614	11882614	6284650	.5288
H3K27me3	MCW_CT_ROA_124	10242417	10242417	10242417	4349372	.4246
H3K27me3	MCW_CT_ROA_133	15058624	15058624	15058624	6806833	.4520
H3K27me3	MCW_CT_ROA_142	12924506	12924506	12924506	4984327	.3856
H3K27me3	MCW_CT_ROA_151	5618466	5618466	5618466	2358898	.4198
H3K27me3	MCW_CT_ROA_160	14296236	14296236	14296236	4671000	.3267
