Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K9me3	MCW_CT_ROA_219	23130869	23130869	23130869	6468505	.2796
H3K9me3	MCW_CT_ROA_228	8366054	8366054	8366054	798790	.0954
H3K9me3	MCW_CT_ROA_237	19506776	19506776	19506776	7002850	.3589
H3K9me3	MCW_CT_ROA_246	17041750	17041750	17041750	7783302	.4567
H3K9me3	MCW_CT_ROA_255	10882096	10882096	10882096	5687915	.5226
H3K9me3	MCW_CT_ROA_225	11768048	11768048	11768048	1806320	.1534
H3K9me3	MCW_CT_ROA_234	12692624	12692624	12692624	2200905	.1734
H3K9me3	MCW_CT_ROA_243	15212314	15212314	15212314	4456628	.2929
H3K9me3	MCW_CT_ROA_252	16372424	16372424	16372424	5177006	.3162
H3K9me3	MCW_CT_ROA_213	19932945	19932945	19932945	3810691	.1911
H3K9me3	MCW_CT_ROA_222	24995209	24995209	24995209	10539250	.4216
H3K9me3	MCW_CT_ROA_231	9904669	9904669	9904669	5310002	.5361
H3K9me3	MCW_CT_ROA_240	18385836	18385836	18385836	4837782	.2631
H3K9me3	MCW_CT_ROA_249	14658547	14658547	14658547	3896981	.2658
H3K9me3	MCW_CT_ROA_220	22058010	22058010	22058010	4339541	.1967
H3K9me3	MCW_CT_ROA_229	15207032	15207032	15207032	3446918	.2266
H3K9me3	MCW_CT_ROA_238	14241113	14241113	14241113	6215303	.4364
H3K9me3	MCW_CT_ROA_247	15115900	15115900	15115900	5897165	.3901
H3K9me3	MCW_CT_ROA_256	13577790	13577790	13577790	2822616	.2078
H3K9me3	MCW_CT_ROA_217	19036055	19036055	19036055	4064322	.2135
H3K9me3	MCW_CT_ROA_226	15668183	15668183	15668183	3540028	.2259
H3K9me3	MCW_CT_ROA_235	18738729	18738729	18738729	4292079	.2290
H3K9me3	MCW_CT_ROA_244	10126335	10126335	10126335	3236076	.3195
H3K9me3	MCW_CT_ROA_253	17394858	17394858	17394858	6713106	.3859
H3K9me3	MCW_CT_ROA_214	1767796	1767796	1767796	421494	.2384
H3K9me3	MCW_CT_ROA_223	17545126	17545126	17545126	7465365	.4254
H3K9me3	MCW_CT_ROA_232	12381024	12381024	12381024	2032364	.1641
H3K9me3	MCW_CT_ROA_241	21802019	21802019	21802019	9503487	.4358
H3K9me3	MCW_CT_ROA_250	21432218	21432218	21432218	10204936	.4761
