Histone	Sample	Total_Reads	Mapped_Reads	Fragments	Reads_in_Peaks	FRiP
H3K9me3	MCW_CT_ROA_219	23011785	23011785	23011785	4999896	.2172
H3K9me3	MCW_CT_ROA_228	8321182	8321182	8321182	578521	.0695
H3K9me3	MCW_CT_ROA_237	19488272	19488272	19488272	4978780	.2554
H3K9me3	MCW_CT_ROA_246	16987504	16987504	16987504	6571805	.3868
H3K9me3	MCW_CT_ROA_255	10854362	10854362	10854362	4251793	.3917
H3K9me3	MCW_CT_ROA_225	11704740	11704740	11704740	1356454	.1158
H3K9me3	MCW_CT_ROA_234	12629648	12629648	12629648	1735464	.1374
H3K9me3	MCW_CT_ROA_243	15004746	15004746	15004746	3509911	.2339
H3K9me3	MCW_CT_ROA_252	16314870	16314870	16314870	3984310	.2442
H3K9me3	MCW_CT_ROA_213	19477841	19477841	19477841	2640959	.1355
H3K9me3	MCW_CT_ROA_222	24710461	24710461	24710461	7876467	.3187
H3K9me3	MCW_CT_ROA_231	9836023	9836023	9836023	4078171	.4146
H3K9me3	MCW_CT_ROA_240	18261730	18261730	18261730	3791858	.2076
H3K9me3	MCW_CT_ROA_249	14465523	14465523	14465523	2878672	.1990
H3K9me3	MCW_CT_ROA_220	21997160	21997160	21997160	3351609	.1523
H3K9me3	MCW_CT_ROA_229	15021314	15021314	15021314	2730804	.1817
H3K9me3	MCW_CT_ROA_238	13962889	13962889	13962889	4529533	.3243
H3K9me3	MCW_CT_ROA_247	14979888	14979888	14979888	5105101	.3407
H3K9me3	MCW_CT_ROA_256	13553148	13553148	13553148	2024714	.1493
H3K9me3	MCW_CT_ROA_217	18736051	18736051	18736051	2937891	.1568
H3K9me3	MCW_CT_ROA_226	15496623	15496623	15496623	2702852	.1744
H3K9me3	MCW_CT_ROA_235	18649139	18649139	18649139	3312901	.1776
H3K9me3	MCW_CT_ROA_244	9993635	9993635	9993635	2502347	.2503
H3K9me3	MCW_CT_ROA_253	17324002	17324002	17324002	5368610	.3098
H3K9me3	MCW_CT_ROA_214	1743592	1743592	1743592	367338	.2106
H3K9me3	MCW_CT_ROA_223	17233554	17233554	17233554	5490856	.3186
H3K9me3	MCW_CT_ROA_232	12253630	12253630	12253630	1515439	.1236
H3K9me3	MCW_CT_ROA_241	21646109	21646109	21646109	7911708	.3655
H3K9me3	MCW_CT_ROA_250	21237774	21237774	21237774	8019896	.3776
