pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.19	20565	4201356	204.30
9.60	6.91	21522	4398993	204.40
9.30	6.63	22504	4609016	204.81
9.00	6.35	23614	4844805	205.17
8.70	6.07	24737	5088338	205.70
8.40	5.84	27160	5516110	203.10
8.10	5.56	28663	5826627	203.28
7.80	5.28	30246	6165235	203.84
7.50	5.00	31984	6538750	204.44
7.20	4.78	36059	7229281	200.48
6.90	4.51	38416	7718554	200.92
6.60	4.24	40805	8230750	201.71
6.30	3.96	43548	8805024	202.19
6.00	3.68	46357	9415154	203.10
5.70	3.49	55171	10894639	197.47
5.40	3.21	59357	11777119	198.41
5.10	2.94	63845	12734474	199.46
4.80	2.67	68588	13778584	200.89
4.50	2.48	87113	16910954	194.13
4.20	2.22	94842	18556690	195.66
3.90	1.94	102886	20341528	197.71
3.60	1.67	111263	22275135	200.20
3.30	1.50	151812	29422335	193.81
3.00	1.24	166078	32690365	196.84
2.70	0.97	181640	36433612	200.58
2.40	0.70	196933	40363451	204.96
2.10	0.55	294502	59411944	201.74
1.80	0.29	324303	67460734	208.02
1.50	0.03	352140	75846931	215.39
1.20	0.00	616488	136567678	221.53
0.90	0.00	681004	159659488	234.45
0.60	0.00	728667	182499240	250.46
0.30	0.00	255964	2777093108	10849.55
