pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.58	3118	1828103	586.31
9.60	6.32	3357	1983278	590.79
9.30	6.06	3607	2147616	595.40
9.00	5.80	3907	2336842	598.12
8.70	5.54	4252	2558998	601.83
8.40	5.30	4688	2810021	599.41
8.10	5.04	5125	3091836	603.29
7.80	4.78	5609	3412261	608.35
7.50	4.53	6261	3802261	607.29
7.20	4.29	7076	4264864	602.72
6.90	4.05	7952	4816287	605.67
6.60	3.80	8970	5423825	604.66
6.30	3.55	10171	6166365	606.27
6.00	3.31	12217	7215011	590.57
5.70	3.10	14042	8297026	590.87
5.40	2.85	16190	9626394	594.59
5.10	2.61	18848	11244719	596.60
4.80	2.41	24591	14134133	574.77
4.50	2.20	29061	16967982	583.87
4.20	1.96	34140	20363553	596.47
3.90	1.72	39822	24494630	615.10
3.60	1.58	58213	34425384	591.37
3.30	1.35	68718	42541665	619.08
3.00	1.11	79752	52075870	652.97
2.70	0.92	127363	81257890	638.00
2.40	0.78	147291	101655352	690.17
2.10	0.54	164816	123937896	751.98
1.80	0.33	277525	214409061	772.58
1.50	0.23	301998	263262466	871.74
1.20	0.00	314279	311780166	992.05
0.90	0.00	490288	576120512	1175.07
0.60	0.00	475132	668008753	1405.94
0.30	0.00	86897	2835169348	32626.78
