pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.12	11701	4632429	395.90
9.60	6.86	12670	5004305	394.97
9.30	6.59	13710	5424330	395.65
9.00	6.32	14862	5888540	396.21
8.70	6.04	16054	6375592	397.13
8.40	5.84	20093	7519995	374.26
8.10	5.57	21912	8238388	375.98
7.80	5.30	23799	9007100	378.47
7.50	5.03	25648	9799731	382.09
7.20	4.76	27838	10729014	385.41
6.90	4.57	36767	13257281	360.58
6.60	4.30	40005	14577030	364.38
6.30	4.03	43620	16154814	370.35
6.00	3.76	47129	17808918	377.88
5.70	3.57	63928	22848821	357.41
5.40	3.31	69907	25505656	364.85
5.10	3.04	75604	28267067	373.88
4.80	2.77	81210	31228259	384.54
4.50	2.56	112108	41510881	370.28
4.20	2.32	120734	46179283	382.49
3.90	2.05	130148	51636455	396.75
3.60	1.78	138595	57078000	411.83
3.30	1.59	188669	76584690	405.92
3.00	1.34	201532	85604091	424.77
2.70	1.07	214283	95865102	447.38
2.40	0.81	224789	106268442	472.75
2.10	0.63	299832	144044246	480.42
1.80	0.37	313608	161152703	513.87
1.50	0.10	323557	178716927	552.35
1.20	0.00	426637	247559069	580.26
0.90	0.00	437010	279732010	640.10
0.60	0.00	437267	308473688	705.46
0.30	0.00	92343	2856954123	30938.50
