pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.85	5564	2731393	490.90
9.60	6.58	5825	2872219	493.08
9.30	6.30	6078	3023236	497.41
9.00	6.03	6406	3182471	496.80
8.70	5.75	6742	3363499	498.89
8.40	5.48	7100	3550630	500.09
8.10	5.21	7504	3756937	500.66
7.80	4.94	7961	3987871	500.93
7.50	4.67	8500	4247593	499.72
7.20	4.40	9073	4526888	498.94
6.90	4.14	9834	4876416	495.87
6.60	3.87	10594	5236963	494.33
6.30	3.61	11460	5640767	492.21
6.00	3.35	12483	6123328	490.53
5.70	3.11	14001	6742937	481.60
5.40	2.85	15469	7413437	479.24
5.10	2.59	17163	8173740	476.24
4.80	2.34	19078	9049014	474.32
4.50	2.13	22903	10492332	458.12
4.20	1.88	26156	11880784	454.23
3.90	1.63	29835	13505888	452.69
3.60	1.39	39480	16951337	429.37
3.30	1.22	45976	19750727	429.59
3.00	0.98	53751	23218598	431.97
2.70	0.74	62703	27378119	436.63
2.40	0.64	98474	40264788	408.89
2.10	0.40	115712	48639690	420.35
1.80	0.16	133616	58377686	436.91
1.50	0.13	255417	106230124	415.91
1.20	0.00	290111	128700723	443.63
0.90	0.00	649246	299281479	460.97
0.60	0.00	703221	360994069	513.34
0.30	0.00	238550	2726575441	11429.79
