pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.16	15621	7169019	458.93
9.60	6.88	16342	7498275	458.83
9.30	6.60	17316	7890844	455.70
9.00	6.32	18222	8264470	453.54
8.70	6.04	19103	8678297	454.29
8.40	5.76	20064	9129802	455.03
8.10	5.50	21597	9686412	448.51
7.80	5.22	22837	10241042	448.44
7.50	4.94	24121	10835452	449.21
7.20	4.66	25565	11502715	449.94
6.90	4.41	28248	12489171	442.13
6.60	4.13	30064	13342298	443.80
6.30	3.86	32166	14284789	444.10
6.00	3.59	34381	15301960	445.07
5.70	3.34	39418	17121118	434.35
5.40	3.07	42605	18593530	436.42
5.10	2.80	45914	20196957	439.89
4.80	2.53	49441	22033441	445.65
4.50	2.31	59829	25899245	432.89
4.20	2.05	65284	28688722	439.44
3.90	1.78	70494	31657852	449.09
3.60	1.59	91470	39732208	434.37
3.30	1.33	100174	44892873	448.15
3.00	1.08	109060	50690208	464.79
2.70	0.82	117566	57053238	485.29
2.40	0.68	173074	82005885	473.82
2.10	0.43	186484	93903546	503.55
1.80	0.17	197693	106657083	539.51
1.50	0.11	336729	184780650	548.75
1.20	0.00	349649	211332486	604.41
0.90	0.00	671166	460771260	686.52
0.60	0.00	667455	521413881	781.20
0.30	0.00	114671	2804619653	24457.97
