pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.85	6905	2266507	328.24
9.60	6.59	7431	2431076	327.15
9.30	6.32	7961	2599087	326.48
9.00	6.05	8506	2782106	327.08
8.70	5.78	9157	2994943	327.07
8.40	5.51	9908	3240336	327.04
8.10	5.27	10947	3546499	323.97
7.80	5.00	11909	3849668	323.26
7.50	4.74	12952	4184262	323.06
7.20	4.47	14082	4545302	322.77
6.90	4.24	16142	5116510	316.97
6.60	3.98	17851	5646840	316.33
6.30	3.72	19695	6220959	315.86
6.00	3.46	21798	6874891	315.39
5.70	3.25	26428	8094861	306.30
5.40	3.00	29673	9069471	305.65
5.10	2.74	33149	10147481	306.12
4.80	2.49	37094	11388309	307.01
4.50	2.31	48979	14415786	294.33
4.20	2.05	55489	16407347	295.69
3.90	1.80	63025	18776438	297.92
3.60	1.64	89766	25588849	285.06
3.30	1.40	102726	29658877	288.72
3.00	1.15	116879	34301954	293.48
2.70	0.91	183955	51849596	281.86
2.40	0.80	211613	61228494	289.34
2.10	0.55	239814	71613691	298.62
1.80	0.31	415169	121868371	293.54
1.50	0.23	472483	145523653	308.00
1.20	0.00	523486	170740371	326.16
0.90	0.00	986278	344722994	349.52
0.60	0.00	1064460	410259158	385.42
0.30	0.00	371875	2676559311	7197.47
