pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.19	21248	6213013	292.40
9.60	6.91	22337	6557465	293.57
9.30	6.63	23358	6904505	295.59
9.00	6.35	24552	7297282	297.22
8.70	6.07	25777	7716959	299.37
8.40	5.84	28657	8442222	294.60
8.10	5.56	30373	8982530	295.74
7.80	5.28	32203	9595651	297.97
7.50	5.00	34123	10246215	300.27
7.20	4.78	39104	11520108	294.60
6.90	4.51	41803	12402989	296.70
6.60	4.24	44473	13348785	300.15
6.30	3.96	47519	14426966	303.60
6.00	3.68	50603	15556454	307.42
5.70	3.49	61498	18432221	299.72
5.40	3.21	66270	20169363	304.35
5.10	2.94	71294	22044070	309.20
4.80	2.67	76594	24121339	314.92
4.50	2.48	98945	30351077	306.75
4.20	2.22	107365	33677457	313.67
3.90	1.94	115741	37300962	322.28
3.60	1.67	124037	41214841	332.28
3.30	1.50	170306	55251544	324.43
3.00	1.24	183879	61829937	336.25
2.70	0.97	197600	69122126	349.81
2.40	0.70	209727	76736624	365.89
2.10	0.55	304888	109986513	360.74
1.80	0.29	325191	124321872	382.30
1.50	0.03	340666	138728322	407.23
1.20	0.00	550709	226609579	411.49
0.90	0.00	574740	259623957	451.72
0.60	0.00	581522	289732950	498.23
0.30	0.00	127531	2826064827	22159.83
