pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.79	2035	747821	367.48
9.60	6.53	2298	847446	368.78
9.30	6.28	2561	944580	368.83
9.00	6.02	2902	1071090	369.09
8.70	5.83	3611	1305211	361.45
8.40	5.58	4084	1479640	362.30
8.10	5.32	4656	1689219	362.80
7.80	5.07	5291	1933673	365.46
7.50	4.81	5939	2173983	366.05
7.20	4.63	7740	2757400	356.25
6.90	4.38	8831	3163025	358.17
6.60	4.12	10118	3643352	360.09
6.30	3.86	11482	4162035	362.48
6.00	3.71	15947	5631201	353.12
5.70	3.45	18363	6535737	355.92
5.40	3.19	20947	7547936	360.33
5.10	2.93	23843	8688880	364.42
4.80	2.78	34589	12405587	358.66
4.50	2.53	39719	14440937	363.58
4.20	2.27	45084	16675725	369.88
3.90	2.04	66708	24563402	368.22
3.60	1.86	76286	28656588	375.65
3.30	1.60	87199	33495217	384.12
3.00	1.35	98380	38718341	393.56
2.70	1.19	146212	58068847	397.16
2.40	0.94	166105	67941275	409.03
2.10	0.68	186115	78764732	423.20
1.80	0.52	270722	118016490	435.93
1.50	0.27	303825	138628830	456.28
1.20	0.01	333978	160443870	480.40
0.90	0.00	472606	244581687	517.52
0.60	0.00	512623	289698433	565.13
0.30	0.00	257559	2653530012	10302.61
