pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.90	10594	2380509	224.70
9.60	6.65	11342	2536965	223.68
9.30	6.37	11997	2686152	223.90
9.00	6.10	12735	2851808	223.93
8.70	5.82	13488	3019784	223.89
8.40	5.55	14289	3202172	224.10
8.10	5.31	15844	3500798	220.95
7.80	5.04	16899	3731193	220.79
7.50	4.77	18074	3993673	220.96
7.20	4.50	19401	4282477	220.73
6.90	4.22	20692	4575954	221.15
6.60	4.02	24144	5196583	215.23
6.30	3.75	26177	5638534	215.40
6.00	3.48	28394	6123129	215.65
5.70	3.22	30923	6683834	216.14
5.40	2.95	33509	7271480	217.00
5.10	2.78	42675	8892343	208.37
4.80	2.52	47276	9873121	208.84
4.50	2.25	52243	10963635	209.86
4.20	1.99	57414	12130259	211.28
3.90	1.78	81273	16410355	201.92
3.60	1.59	91472	18640020	203.78
3.30	1.33	101565	20983629	206.60
3.00	1.07	112655	23624253	209.70
2.70	0.83	180873	36688350	202.84
2.40	0.71	204645	42437441	207.37
2.10	0.45	230186	49055679	213.11
1.80	0.19	253827	55806947	219.86
1.50	0.04	493496	109993949	222.89
1.20	0.00	555813	130210852	234.27
0.90	0.00	607074	150716082	248.27
0.60	0.00	348866	2651196014	7599.47
0.30	0.00	166313	2873512714	17277.74
