pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.79	2546	1318195	517.75
9.60	6.53	2888	1500417	519.53
9.30	6.28	3227	1693946	524.93
9.00	6.02	3672	1947028	530.24
8.70	5.83	4522	2343252	518.19
8.40	5.58	5125	2675128	521.98
8.10	5.32	5883	3105933	527.95
7.80	5.07	6720	3598952	535.56
7.50	4.81	7581	4127630	544.47
7.20	4.63	9784	5158511	527.24
6.90	4.38	11285	6052302	536.31
6.60	4.12	13061	7140546	546.71
6.30	3.86	14901	8332435	559.19
6.00	3.71	20294	10995689	541.82
5.70	3.45	23600	13152511	557.31
5.40	3.19	26963	15505884	575.08
5.10	2.93	30831	18285851	593.10
4.80	2.78	43830	25475564	581.24
4.50	2.53	50357	30411176	603.91
4.20	2.27	56940	35843404	629.49
3.90	2.04	82103	51231938	624.00
3.60	1.86	92856	60783119	654.60
3.30	1.60	104492	72053447	689.56
3.00	1.35	115470	84346932	730.47
2.70	1.19	164436	121443778	738.55
2.40	0.94	180280	142914805	792.74
2.10	0.68	193674	165411363	854.07
1.80	0.52	264518	236296921	893.31
1.50	0.27	279121	274543359	983.60
1.20	0.01	286293	311618987	1088.46
0.90	0.00	368366	443202395	1203.16
0.60	0.00	364248	503245881	1381.60
0.30	0.00	100408	2783030867	27717.22
