pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.50	2853	1226623	429.94
9.60	6.24	3116	1355471	435.00
9.30	5.98	3413	1491455	436.99
9.00	5.76	3888	1676489	431.20
8.70	5.51	4318	1865165	431.95
8.40	5.25	4796	2080761	433.85
8.10	5.00	5352	2338360	436.91
7.80	4.75	6032	2637999	437.33
7.50	4.55	7393	3100334	419.36
7.20	4.30	8370	3518278	420.34
6.90	4.05	9551	4013108	420.18
6.60	3.80	10994	4621884	420.40
6.30	3.62	14483	5754759	397.35
6.00	3.38	16925	6765330	399.72
5.70	3.13	19553	7905207	404.30
5.40	2.89	22704	9319443	410.48
5.10	2.74	32520	12634378	388.51
4.80	2.50	38123	15171336	397.96
4.50	2.25	44492	18267774	410.59
4.20	2.01	51429	21867100	425.19
3.90	1.89	80438	32686526	406.36
3.60	1.65	94008	40106481	426.63
3.30	1.40	107516	48359114	449.79
3.00	1.17	175127	77734788	443.88
2.70	1.07	200385	95334558	475.76
2.40	0.82	225037	115866008	514.88
2.10	0.58	245569	137969689	561.84
1.80	0.50	398728	238336454	597.74
1.50	0.26	424893	284671324	669.98
1.20	0.01	437757	330314025	754.56
0.90	0.00	639235	588550690	920.71
0.60	0.00	621282	672370024	1082.23
0.30	0.00	98346	2866032158	29142.34
