pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.52	2469	1666389	674.92
9.60	6.26	2663	1819178	683.13
9.30	6.00	2887	1989248	689.04
9.00	5.74	3128	2186973	699.16
8.70	5.49	3402	2407464	707.66
8.40	5.23	3680	2619181	711.73
8.10	4.99	4017	2895070	720.70
7.80	4.73	4405	3219604	730.90
7.50	4.48	4817	3550828	737.15
7.20	4.22	5330	3936718	738.60
6.90	4.00	6010	4434398	737.84
6.60	3.75	6714	4978077	741.45
6.30	3.50	7566	5602719	740.51
6.00	3.25	8532	6348865	744.12
5.70	3.06	10310	7468618	724.41
5.40	2.82	12014	8677195	722.26
5.10	2.57	13946	10130022	726.37
4.80	2.33	16177	11869874	733.75
4.50	2.17	21580	15330350	710.40
4.20	1.93	25404	18369681	723.10
3.90	1.69	30307	22398675	739.06
3.60	1.52	44845	31797446	709.05
3.30	1.33	53230	39124178	735.00
3.00	1.09	63068	48754881	773.05
2.70	0.85	72716	59703369	821.05
2.40	0.77	119391	97178162	813.95
2.10	0.53	135396	120038203	886.57
1.80	0.29	148532	145387297	978.83
1.50	0.23	251984	260019605	1031.89
1.20	0.00	263245	310465954	1179.38
0.90	0.00	414649	574387092	1385.24
0.60	0.00	400055	665502707	1663.53
0.30	0.00	72170	2842052137	39379.97
