pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.66	4071	1677945	412.17
9.60	6.39	4452	1838868	413.04
9.30	6.15	4928	2037204	413.39
9.00	5.89	5405	2249604	416.21
8.70	5.63	5925	2487923	419.90
8.40	5.37	6557	2766031	421.84
8.10	5.11	7243	3086940	426.20
7.80	4.88	8338	3535091	423.97
7.50	4.62	9281	3960956	426.78
7.20	4.37	10397	4471122	430.04
6.90	4.11	11643	5042632	433.10
6.60	3.90	14042	5974391	425.47
6.30	3.65	16075	6912814	430.04
6.00	3.40	18230	7947721	435.97
5.70	3.15	20791	9213198	443.13
5.40	2.97	26706	11592307	434.07
5.10	2.72	30909	13679058	442.56
4.80	2.47	35397	16071627	454.04
4.50	2.30	48373	21424735	442.91
4.20	2.07	56593	25959624	458.71
3.90	1.82	65548	31249753	476.75
3.60	1.58	75314	37620704	499.52
3.30	1.45	112008	54978431	490.84
3.00	1.21	128509	66978611	521.20
2.70	0.96	144898	80870196	558.12
2.40	0.86	228513	128835769	563.80
2.10	0.62	254047	156304724	615.26
1.80	0.38	274221	186243141	679.17
1.50	0.31	436543	320493638	734.16
1.20	0.07	453615	379253925	836.07
0.90	0.00	655775	673792090	1027.47
0.60	0.00	633106	788172700	1244.93
0.30	0.00	127405	2777522605	21800.73
