pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.03	10855	4521827	416.57
9.60	6.76	11609	4830502	416.10
9.30	6.48	12391	5167518	417.04
9.00	6.21	13245	5536881	418.04
8.70	5.97	14770	6058546	410.19
8.40	5.70	15959	6545854	410.17
8.10	5.43	17270	7067306	409.22
7.80	5.16	18589	7623328	410.10
7.50	4.89	20131	8305602	412.58
7.20	4.66	23710	9455411	398.79
6.90	4.40	25913	10375745	400.41
6.60	4.13	28153	11341647	402.86
6.30	3.86	30668	12447798	405.89
6.00	3.66	38025	14865354	390.94
5.70	3.39	41990	16597843	395.28
5.40	3.13	46405	18611278	401.06
5.10	2.86	50621	20641005	407.76
4.80	2.68	67500	26370060	390.67
4.50	2.42	74626	29814552	399.52
4.20	2.16	81977	33639030	410.35
3.90	1.91	116100	45695774	393.59
3.60	1.74	128451	52411761	408.03
3.30	1.48	141391	60156836	425.46
3.00	1.22	152920	68120415	445.46
2.70	1.09	232263	101295559	436.12
2.40	0.83	251216	116389592	463.30
2.10	0.58	267587	132755888	496.12
1.80	0.43	416445	210081239	504.46
1.50	0.21	438300	241385862	550.73
1.20	0.00	449988	271528095	603.41
0.90	0.00	681816	464896851	681.85
0.60	0.00	676864	525313619	776.10
0.30	0.00	125467	2789097880	22229.73
