pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.67	4797	2139764	446.06
9.60	6.40	5102	2303842	451.56
9.30	6.13	5409	2465640	455.84
9.00	5.86	5794	2656259	458.45
8.70	5.59	6196	2873075	463.70
8.40	5.34	6774	3138079	463.25
8.10	5.08	7364	3431236	465.95
7.80	4.81	8011	3731890	465.85
7.50	4.55	8698	4066437	467.51
7.20	4.29	9481	4450234	469.38
6.90	4.06	10814	4976168	460.16
6.60	3.80	11883	5493355	462.29
6.30	3.54	13177	6106019	463.38
6.00	3.29	14762	6846543	463.80
5.70	3.08	18333	8115079	442.65
5.40	2.83	20811	9190926	441.64
5.10	2.58	23804	10548008	443.12
4.80	2.33	27039	12127782	448.53
4.50	2.15	37862	15834624	418.22
4.20	1.93	43773	18683995	426.84
3.90	1.68	50576	22105678	437.08
3.60	1.44	57864	26131069	451.59
3.30	1.27	94401	39542711	418.88
3.00	1.09	109416	48216397	440.67
2.70	0.85	123958	57999322	467.89
2.40	0.61	138238	69384268	501.92
2.10	0.53	256302	125165383	488.35
1.80	0.32	280781	150903976	537.44
1.50	0.08	298946	179004863	598.79
1.20	0.00	550734	368339615	668.82
0.90	0.00	560841	436611631	778.49
0.60	0.00	551274	492988221	894.27
0.30	0.00	69519	2901315603	41734.14
