""	"Entrez_ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"SYMBOL"	"Time"
"1"	653635	-0.185906887150237	3.2249670687525	-1.12921976097925	0.266726173709208	0.324793951980794	-6.61731237470773	"WASH7P"	"24T"
"2"	729737	-1.03779547039808	3.30607355150121	-5.02907573410486	1.58306188833971e-05	4.82808587415045e-05	2.37491764648067	"LOC729737"	"24T"
"3"	102723897	0.089028890949244	3.40251660434944	0.545348262274116	0.589081578442082	0.644685044459812	-7.13939038725752	"LOC102723897"	"24T"
"4"	100132287	-0.438060164156099	2.59812472894423	-2.19414550241127	0.0351717716996762	0.0531473827530249	-4.85458145556614	"LOC100132287"	"24T"
"5"	102465432	0.542896988543964	6.50207732900216	2.79304283570223	0.00852014382662924	0.0146810998138994	-3.99884519711497	NA	"24T"
"6"	100133331	-0.76485205756346	2.39507336541976	-3.87953320795798	0.00045784832661792	0.00102628838272418	-0.762670842473958	NA	"24T"
"7"	79854	0.771997710707301	0.300262405294644	2.25340056960248	0.0308096272805685	0.0470523734034194	-4.36132527433034	"LINC00115"	"24T"
"8"	643837	-0.300856143852491	5.82333766379001	-2.38901602022567	0.0225993547921816	0.0355019376049641	-4.88544028535172	"LINC01128"	"24T"
"9"	100130417	2.30312361527983	0.0812680109991223	5.88830766828498	1.21183643840125e-06	4.70379126090199e-06	5.30248425075827	"LINC02593"	"24T"
"10"	148398	3.61013208076249	0.607742428307635	7.73287824565623	5.4728832620027e-09	3.84713870538128e-08	10.5540115077769	"SAMD11"	"24T"
"11"	26155	0.929188278364641	6.4347217227515	9.47497385962219	4.65410442196793e-11	6.24574706824356e-10	14.8770657914162	"NOC2L"	"24T"
"12"	339451	0.241357898835366	3.79577950285746	1.44506376866875	0.157613457702937	0.204352327132231	-6.30799946713733	"KLHL17"	"24T"
"13"	57801	0.260919301604265	5.27541397037155	1.41048925925797	0.167498383783474	0.215509871272852	-6.56744966935789	"HES4"	"24T"
"14"	9636	0.981136662456932	3.19122521075155	3.799278330989	0.00057467687623261	0.0012609252514212	-1.09534731002712	"ISG15"	"24T"
"15"	375790	0.436759696932276	9.27061167787648	2.50473105252017	0.0172230576440839	0.0277628011263805	-4.51528106388913	"AGRN"	"24T"
"16"	54991	-1.11222888637809	3.19201310434901	-6.78241478881067	8.54667022646725e-08	4.46478551524205e-07	7.57962326157139	"C1orf159"	"24T"
"17"	51150	0.635638174856259	8.13305061447126	5.89007972805105	1.20543694421288e-06	4.68657388112522e-06	4.70800820732961	"SDF4"	"24T"
"18"	126792	-0.927073800635035	5.64497733107186	-10.0609523801136	1.0219428154719e-11	1.70550106931727e-10	16.4314126528563	"B3GALT6"	"24T"
"19"	388581	0.764613908664255	-0.103055371221024	2.54092644416951	0.0157991054681392	0.0256697368884926	-3.7125278511541	"C1QTNF12"	"24T"
"20"	118424	0.298356896773352	5.42311376205292	1.94160878487736	0.0605261706153987	0.086797620134391	-5.72274795959729	"UBE2J2"	"24T"
"21"	6339	1.90856476732453	3.2374057240999	8.62081639725563	4.59551880931704e-10	4.38688225537404e-09	12.8176129305676	"SCNN1D"	"24T"
"22"	116983	0.483267437722087	6.2571169798349	4.25006728257186	0.00015775596801549	0.00038906436548637	-0.167812557099578	"ACAP3"	"24T"
"23"	126789	-0.682842045583308	2.78407085733355	-4.49903899956839	7.61733949373698e-05	0.00020055210679071	0.918587432435189	"PUSL1"	"24T"
"24"	54973	-0.267054062369766	5.77285749344264	-2.79087315733526	0.00856654848190227	0.0147521837296883	-3.98515286236331	"INTS11"	"24T"
"25"	80772	-0.476960207277482	4.47082642957324	-2.28180091737088	0.0288961302084516	0.0443666832998947	-4.98198639612287	"CPTP"	"24T"
"26"	83756	1.85234327685673	1.10613736295016	7.22206555457175	2.37069677019579e-08	1.42033502311437e-07	9.09339698871686	"TAS1R3"	"24T"
"27"	1855	-0.475092654382379	5.526485220204	-3.79212329249719	0.00058639953263961	0.00128389218774718	-1.4191924488567	"DVL1"	"24T"
"28"	54587	-0.353747896201599	4.03086245006225	-1.56931202185077	0.125855767712986	0.167126842055295	-6.16452913072782	"MXRA8"	"24T"
"29"	54998	0.00995879915918607	5.49233400242775	0.0818867204119888	0.935217978214236	0.948264143184368	-7.56735484405323	"AURKAIP1"	"24T"
"30"	81669	1.19281215238882	7.45956261116174	9.88788279276404	1.59168787938354e-11	2.50303402699772e-10	15.9806168226754	"CCNL2"	"24T"
"31"	148413	0.227653629916672	3.54837484291024	1.36455173710195	0.181376660872027	0.231205591295874	-6.38374822837497	"MRPL20-AS1"	"24T"
"32"	55052	-0.488643957888599	5.28017581978417	-4.74555586407647	3.67868578303219e-05	0.00010360956279944	1.30930116518772	"MRPL20"	"24T"
"33"	64856	-0.179065560231537	2.96137655473008	-0.576406295332457	0.568145162861812	0.625020788799807	-7.08948412753883	"VWA1"	"24T"
"34"	219293	-0.0033403431969885	0.0729524309357114	-0.0097203576945998	0.992301331360349	0.994069654770763	-6.73756180502912	"ATAD3C"	"24T"
"35"	83858	0.0092548835372579	4.72152603655942	0.0509878512144503	0.959634210882847	0.968153474644648	-7.48079756417769	"ATAD3B"	"24T"
"36"	55210	-0.828278627224359	4.82069562971685	-6.5814427487134	1.54435086494603e-07	7.5323695821778e-07	6.79258098274949	"ATAD3A"	"24T"
"37"	339453	-1.57955563670045	0.832266383220378	-8.4278368354732	7.80946517893876e-10	6.9889832435765e-09	12.4598074187727	"TMEM240"	"24T"
"38"	29101	-0.442098669309233	6.04917517474369	-3.25557559432766	0.00256800332005172	0.00494569462539618	-2.86165020685107	"SSU72"	"24T"
"39"	643988	0.0206154259783027	3.59868347620721	0.0788927212856497	0.937581433474036	0.950122331628785	-7.3781197329811	"FNDC10"	"24T"
"40"	142678	0.862993908210653	6.65643425586896	7.04268331330245	3.99193165043532e-08	2.26467786460314e-07	8.06836152944	"MIB2"	"24T"
"41"	8510	-0.194717580204046	4.13990019173445	-0.77947990222125	0.4411007156646	0.502915928625002	-7.16104073373734	"MMP23B"	"24T"
"42"	984	-0.00186318987243972	5.53133999181874	-0.0168280342810596	0.986672376721248	0.989505656413472	-7.56927965174333	"CDK11B"	"24T"
"43"	728661	-0.758302769116574	6.747570243897	-6.50058426639317	1.96107080167395e-07	9.36331204040321e-07	6.47559801832623	"SLC35E2B"	"24T"
"44"	8511	-0.165778977792597	5.10521762170824	-0.665547686347914	0.510199928812282	0.570033768778329	-7.33547068755553	"MMP23A"	"24T"
"45"	728642	0.299394098844588	5.42486621111849	2.29283982209572	0.0281816818937078	0.0433720446083408	-5.04777719854266	"CDK11A"	"24T"
"46"	9906	-0.649731382925316	5.50005815367619	-4.51714983726094	7.22223736594973e-05	0.00019069743102163	0.630677002801432	"SLC35E2A"	"24T"
"47"	65220	0.0478432461552032	5.38063612938664	0.543718806743357	0.590190205081551	0.645700912787494	-7.40337185452025	"NADK"	"24T"
"48"	2782	-0.873019498874566	8.14470058409733	-5.71950563122627	2.00748341007004e-06	7.42576981368971e-06	4.20436588750674	"GNB1"	"24T"
"49"	5590	-1.80339393924774	4.34473082380339	-10.757382622964	1.78735671156826e-12	4.0883643375313e-11	18.2666932959347	"PRKCZ"	"24T"
"50"	100506504	-0.0933272611032511	1.00500426519041	-0.376944982849974	0.708561920158471	0.754285788026849	-6.81127572767818	"PRKCZ-AS1"	"24T"
"51"	199990	0.172411243887563	4.63664847481234	1.59598007532477	0.119767120424643	0.159946409005826	-6.22560574323318	"FAAP20"	"24T"
"52"	6497	0.737498476458055	6.31518645942464	3.28625393089791	0.0023653325705183	0.00458807871542286	-2.79123213283421	"SKI"	"24T"
"53"	79906	1.20131464412137	2.47810622639028	6.12715415208869	5.94218229014213e-07	2.49154050402768e-06	5.75627114287915	"MORN1"	"24T"
"54"	100129534	2.14825902060402	0.747309852366635	6.94792838218787	5.26320472130959e-08	2.8908257922682e-07	8.32589719136114	"LOC100129534"	"24T"
"55"	11079	0.4321388877637	7.03750169874344	4.92993334099864	2.12716427006783e-05	6.29445447057268e-05	1.80618555690024	"RER1"	"24T"
"56"	5192	-1.00389480163754	3.54075181513968	-6.50154765696686	1.95549184969798e-07	9.3397891246916e-07	6.72686089987457	"PEX10"	"24T"
"57"	55229	-0.516210726701308	5.35203180048975	-4.76812901317737	3.44053639442214e-05	9.77674948039902e-05	1.36527611368007	"PANK4"	"24T"
"58"	127281	-0.810275903165893	3.81215730423583	-5.53458283532499	3.49165490716187e-06	1.22903162772003e-05	3.77816345455173	"PRXL2B"	"24T"
"59"	440556	0.20999209002123	3.3614897631953	0.860313022078543	0.395655304960484	0.458179402485173	-6.98657232145612	"PRDM16-DT"	"24T"
"60"	63976	-1.88835756236086	4.27094136994892	-6.99017364288472	4.65239293997816e-08	2.59010942875378e-07	8.03070457537357	"PRDM16"	"24T"
"61"	27237	0.131328618504986	2.23328205085215	0.613309397986657	0.54376178585145	0.601988944766268	-6.87609725035183	"ARHGEF16"	"24T"
"62"	1953	-0.135621934510667	5.68429445598753	-0.674867589668754	0.504333183666872	0.564403818438916	-7.2859968631708	"MEGF6"	"24T"
"63"	127262	0.700588244727636	5.77750891938206	4.70651643653917	4.12970482065837e-05	0.0001150396358326	1.16771021886379	"TPRG1L"	"24T"
"64"	49856	-0.298705694937207	3.46116282584695	-2.07137966644431	0.0459968133407116	0.0676765690737413	-5.22001842630551	"WRAP73"	"24T"
"65"	57212	0.582462644400274	5.19382421188543	5.31470196908372	6.74314523471924e-06	2.2247718114273e-05	2.98969021825601	"GFOD3P"	"24T"
"66"	148870	0.297023845038639	0.835285313636843	1.11341499075114	0.273356503546143	0.331683058577851	-6.25669772816412	"CCDC27"	"24T"
"67"	388588	-1.32220050723209	0.15176652372758	-4.44452705906783	8.9397897931817e-05	0.00023160638691617	1.10025925049277	"SMIM1"	"24T"
"68"	57470	0.117101248127264	6.37215653651451	1.26003161347395	0.216256177788286	0.269783255771952	-6.80865906128911	"LRRC47"	"24T"
"69"	9731	1.17861358600656	5.36135165694419	9.13235710552867	1.15300174960038e-10	1.34884248795162e-09	13.9987932577253	"CEP104"	"24T"
"70"	1677	-0.277341884000644	1.66339082369399	-1.41981019612297	0.164786761069696	0.212383585216649	-5.99725529100574	"DFFB"	"24T"
"71"	339448	-1.134614045294	3.32991286985307	-8.9189596360603	2.04441685213401e-10	2.20436783928516e-09	13.619592065719	"C1orf174"	"24T"
"72"	261734	-0.0698855807424419	2.80475804686625	-0.413519528724087	0.681828231925353	0.730989701477922	-7.11165861664547	"NPHP4"	"24T"
"73"	8514	2.65153210688877	1.78412950525985	8.55132906279147	5.55932594279404e-10	5.19269329255498e-09	12.7477103898776	"KCNAB2"	"24T"
"74"	26038	3.01731282052442	-0.0749661966508303	6.67406943736902	1.17530915188137e-07	5.91329998095198e-07	7.58563190006458	"CHD5"	"24T"
"75"	6146	0.0689854042580613	6.63225085936314	0.383812701840926	0.703512095190777	0.750136993896548	-7.52864072849141	"RPL22"	"24T"
"76"	388591	-1.30969604268597	6.91568349588449	-3.63836980902238	0.00090239143419614	0.00190187561764125	-1.83290793555181	"RNF207"	"24T"
"77"	23463	-0.819557637670184	7.07614392824545	-5.04169366234172	1.52458912978826e-05	4.66665065186791e-05	2.14174741953688	"ICMT"	"24T"
"78"	387509	2.10334720438273	3.78134784312216	10.0935965859628	9.40418254882009e-12	1.60117110483418e-10	16.6597474595299	"GPR153"	"24T"
"79"	11332	1.57124492596065	4.76888212508726	9.57234886050328	3.60639179229268e-11	5.00386861180609e-10	15.2318573057393	"ACOT7"	"24T"
"80"	83715	4.9702442835113	0.232911624729815	7.73535617366266	5.43447544888775e-09	3.82389454312647e-08	10.5422323563434	"ESPN"	"24T"
"81"	8718	-0.94653960457635	3.26983769459135	-3.60426028964837	0.00099216534743397	0.00207613581517293	-1.60757128762002	"TNFRSF25"	"24T"
"82"	57449	-0.307892849725091	5.41976613347981	-1.6567431579202	0.106792073593409	0.144423470134495	-6.16526855906121	"PLEKHG5"	"24T"
"83"	79707	0.448964166511724	5.11940870544048	4.03147612510572	0.00029667209962284	0.00068794296267198	-0.729744861123826	"NOL9"	"24T"
"84"	3104	0.264769768033726	4.04445631924894	1.63171829392658	0.11198775821828	0.150535512829695	-6.0754477429228	"ZBTB48"	"24T"
"85"	9903	0.0299818039207569	7.29996270147415	0.194613960881314	0.846855846498097	0.874396370493672	-7.56725863422322	"KLHL21"	"24T"
"86"	148479	0.695275034653728	5.18316565877222	5.63443256184114	2.5895215058338e-06	9.39193476241999e-06	3.94223735938805	"PHF13"	"24T"
"87"	90326	-0.387908764233043	2.88068533533275	-2.49619484262016	0.0175755836478562	0.0282737649987252	-4.27350035648899	"THAP3"	"24T"
"88"	55735	-0.715186777322036	5.71576675015537	-8.48152445830662	6.73522142785422e-10	6.13496409831072e-09	12.195720535547	"DNAJC11"	"24T"
"89"	23261	0.215317655184874	4.88405393089706	1.45864501465261	0.153859143318491	0.200118909363018	-6.46511626843019	"CAMTA1"	"24T"
"90"	9341	0.202630954291929	6.53847393315504	1.80271049083208	0.0803227868057852	0.112088683780532	-6.01254902957654	"VAMP3"	"24T"
"91"	8863	-0.399135445324879	3.1630844739927	-1.57683714918078	0.124112691146099	0.165072415430149	-6.06485989572994	"PER3"	"24T"
