pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.75	44353	20753642	467.92
9.60	7.45	44353	20753642	467.92
9.30	7.15	44353	20753642	467.92
9.00	6.85	44353	20753642	467.92
8.70	6.61	55170	25164025	456.12
8.40	6.34	55170	25164025	456.12
8.10	6.04	55170	25164025	456.12
7.80	5.74	55170	25164025	456.12
7.50	5.44	55170	25164025	456.12
7.20	5.26	73573	31772588	431.85
6.90	4.96	73573	31772588	431.85
6.60	4.66	73573	31772588	431.85
6.30	4.36	73573	31772588	431.85
6.00	4.06	106304	42470309	399.52
5.70	3.90	106304	42470309	399.52
5.40	3.60	106304	42470309	399.52
5.10	3.30	106304	42470309	399.52
4.80	3.00	106304	42470309	399.52
4.50	2.86	165641	60702896	366.47
4.20	2.56	165641	60702896	366.47
3.90	2.26	165641	60702896	366.47
3.60	1.96	165641	60702896	366.47
3.30	1.84	270301	92869492	343.58
3.00	1.54	270301	92869492	343.58
2.70	1.24	270301	92869492	343.58
2.40	0.94	270301	92869492	343.58
2.10	0.83	438744	149079381	339.79
1.80	0.53	438744	149079381	339.79
1.50	0.23	438744	149079381	339.79
1.20	0.13	682549	248908296	364.67
0.90	0.00	682549	248908296	364.67
0.60	0.00	682549	248908296	364.67
