pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.98	56924	37560279	659.83
9.60	7.68	56924	37560279	659.83
9.30	7.38	56924	37560279	659.83
9.00	7.14	64800	42627108	657.83
8.70	6.84	64800	42627108	657.83
8.40	6.54	64800	42627108	657.83
8.10	6.24	64800	42627108	657.83
7.80	6.01	75439	49065384	650.40
7.50	5.71	75439	49065384	650.40
7.20	5.41	75439	49065384	650.40
6.90	5.11	75439	49065384	650.40
6.60	4.89	90397	57485571	635.92
6.30	4.59	90397	57485571	635.92
6.00	4.29	90397	57485571	635.92
5.70	4.08	112234	69042915	615.17
5.40	3.78	112234	69042915	615.17
5.10	3.48	112234	69042915	615.17
4.80	3.18	112234	69042915	615.17
4.50	2.98	146725	85822408	584.92
4.20	2.68	146725	85822408	584.92
3.90	2.38	146725	85822408	584.92
3.60	2.21	204457	111975370	547.67
3.30	1.91	204457	111975370	547.67
3.00	1.61	204457	111975370	547.67
2.70	1.45	301516	154455237	512.26
2.40	1.15	301516	154455237	512.26
2.10	0.85	301516	154455237	512.26
1.80	0.71	456315	224717922	492.46
1.50	0.41	456315	224717922	492.46
1.20	0.27	675043	339114400	502.36
0.90	0.00	675043	339114400	502.36
0.60	0.00	937146	529111862	564.60
0.30	0.00	937146	529111862	564.60
