pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.65	55578	13163734	236.85
9.60	7.35	55578	13163734	236.85
9.30	7.05	55578	13163734	236.85
9.00	6.75	55578	13163734	236.85
8.70	6.56	72481	16438338	226.80
8.40	6.28	72481	16438338	226.80
8.10	5.98	72481	16438338	226.80
7.80	5.68	72481	16438338	226.80
7.50	5.38	72481	16438338	226.80
7.20	5.12	101236	21603504	213.40
6.90	4.91	101236	21603504	213.40
6.60	4.61	101236	21603504	213.40
6.30	4.31	101236	21603504	213.40
6.00	4.01	101236	21603504	213.40
5.70	3.76	149227	29918605	200.49
5.40	3.56	149227	29918605	200.49
5.10	3.26	149227	29918605	200.49
4.80	2.96	149227	29918605	200.49
4.50	2.66	149227	29918605	200.49
4.20	2.48	231317	44197528	191.07
3.90	2.22	231317	44197528	191.07
3.60	1.92	231317	44197528	191.07
3.30	1.62	231317	44197528	191.07
3.00	1.32	231317	44197528	191.07
2.70	1.19	378798	71623864	189.08
2.40	0.89	378798	71623864	189.08
2.10	0.59	378798	71623864	189.08
1.80	0.29	378798	71623864	189.08
1.50	0.24	700486	142901760	204.00
1.20	0.00	700486	142901760	204.00
0.90	0.00	700486	142901760	204.00
