pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.77	36758	23392019	636.38
9.60	7.47	36758	23392019	636.38
9.30	7.17	36758	23392019	636.38
9.00	6.87	43659	27364031	626.77
8.70	6.64	43659	27364031	626.77
8.40	6.34	43659	27364031	626.77
8.10	6.04	43659	27364031	626.77
7.80	5.74	43659	27364031	626.77
7.50	5.52	53746	32759721	609.53
7.20	5.22	53746	32759721	609.53
6.90	4.92	53746	32759721	609.53
6.60	4.62	53746	32759721	609.53
6.30	4.42	69132	40521744	586.15
6.00	4.12	69132	40521744	586.15
5.70	3.82	69132	40521744	586.15
5.40	3.52	69132	40521744	586.15
5.10	3.32	94721	52563896	554.93
4.80	3.04	94721	52563896	554.93
4.50	2.74	94721	52563896	554.93
4.20	2.44	94721	52563896	554.93
3.90	2.30	141825	73191731	516.07
3.60	2.00	141825	73191731	516.07
3.30	1.70	141825	73191731	516.07
3.00	1.40	141825	73191731	516.07
2.70	1.30	243578	114069577	468.31
2.40	1.00	243578	114069577	468.31
2.10	0.70	243578	114069577	468.31
1.80	0.61	475840	207057744	435.14
1.50	0.36	475840	207057744	435.14
1.20	0.06	475840	207057744	435.14
0.90	0.01	968159	442907558	457.47
0.60	0.00	968159	442907558	457.47
