pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.84	33430	26845768	803.04
9.60	7.54	33430	26845768	803.04
9.30	7.24	33430	26845768	803.04
9.00	6.94	33430	26845768	803.04
8.70	6.71	39121	31456952	804.09
8.40	6.41	39121	31456952	804.09
8.10	6.11	39121	31456952	804.09
7.80	5.81	39121	31456952	804.09
7.50	5.51	39121	31456952	804.09
7.20	5.30	46819	37509848	801.17
6.90	5.00	46819	37509848	801.17
6.60	4.70	46819	37509848	801.17
6.30	4.40	46819	37509848	801.17
6.00	4.20	58607	46177446	787.92
5.70	3.90	58607	46177446	787.92
5.40	3.60	58607	46177446	787.92
5.10	3.30	58607	46177446	787.92
4.80	3.13	77843	59286383	761.61
4.50	2.83	77843	59286383	761.61
4.20	2.53	77843	59286383	761.61
3.90	2.27	113320	81629187	720.34
3.60	2.08	113320	81629187	720.34
3.30	1.78	113320	81629187	720.34
3.00	1.48	113320	81629187	720.34
2.70	1.37	184343	123651573	670.77
2.40	1.07	184343	123651573	670.77
2.10	0.77	184343	123651573	670.77
1.80	0.62	325157	209956301	645.71
1.50	0.40	325157	209956301	645.71
1.20	0.10	325157	209956301	645.71
0.90	0.01	562081	389167900	692.37
0.60	0.00	562081	389167900	692.37
