pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.86	46063	27347287	593.69
9.60	7.56	46063	27347287	593.69
9.30	7.26	46063	27347287	593.69
9.00	6.96	46063	27347287	593.69
8.70	6.74	54406	31882926	586.02
8.40	6.44	54406	31882926	586.02
8.10	6.14	54406	31882926	586.02
7.80	5.84	54406	31882926	586.02
7.50	5.62	66901	38057571	568.86
7.20	5.32	66901	38057571	568.86
6.90	5.02	66901	38057571	568.86
6.60	4.72	66901	38057571	568.86
6.30	4.50	86956	47124196	541.93
6.00	4.23	86956	47124196	541.93
5.70	3.93	86956	47124196	541.93
5.40	3.63	86956	47124196	541.93
5.10	3.39	120155	61145168	508.89
4.80	3.15	120155	61145168	508.89
4.50	2.85	120155	61145168	508.89
4.20	2.55	120155	61145168	508.89
3.90	2.38	177341	84151702	474.52
3.60	2.10	177341	84151702	474.52
3.30	1.80	177341	84151702	474.52
3.00	1.50	177341	84151702	474.52
2.70	1.36	274481	123407240	449.60
2.40	1.06	274481	123407240	449.60
2.10	0.76	274481	123407240	449.60
1.80	0.64	426389	190320587	446.35
1.50	0.34	426389	190320587	446.35
1.20	0.04	426389	190320587	446.35
0.90	0.00	639609	308017618	481.57
0.60	0.00	639609	308017618	481.57
