pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.70	28176	19799655	702.71
9.60	7.40	28176	19799655	702.71
9.30	7.10	28176	19799655	702.71
9.00	6.80	28176	19799655	702.71
8.70	6.50	28176	19799655	702.71
8.40	6.28	33705	23867765	708.14
8.10	5.98	33705	23867765	708.14
7.80	5.68	33705	23867765	708.14
7.50	5.38	33705	23867765	708.14
7.20	5.09	41645	29717558	713.59
6.90	4.88	41645	29717558	713.59
6.60	4.58	41645	29717558	713.59
6.30	4.28	41645	29717558	713.59
6.00	3.98	41645	29717558	713.59
5.70	3.81	54160	38280403	706.80
5.40	3.51	54160	38280403	706.80
5.10	3.21	54160	38280403	706.80
4.80	2.91	54160	38280403	706.80
4.50	2.72	76899	52623551	684.32
4.20	2.46	76899	52623551	684.32
3.90	2.16	76899	52623551	684.32
3.60	1.86	76899	52623551	684.32
3.30	1.69	128161	81161101	633.27
3.00	1.47	128161	81161101	633.27
2.70	1.17	128161	81161101	633.27
2.40	0.87	128161	81161101	633.27
2.10	0.80	263682	151444882	574.35
1.80	0.55	263682	151444882	574.35
1.50	0.25	263682	151444882	574.35
1.20	0.11	625246	366131719	585.58
0.90	0.02	625246	366131719	585.58
0.60	0.00	625246	366131719	585.58
