pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.62	29359	17111396	582.83
9.60	7.40	34314	20530464	598.31
9.30	7.10	34314	20530464	598.31
9.00	6.80	34314	20530464	598.31
8.70	6.50	34314	20530464	598.31
8.40	6.20	34314	20530464	598.31
8.10	6.00	41005	25038988	610.63
7.80	5.70	41005	25038988	610.63
7.50	5.40	41005	25038988	610.63
7.20	5.10	41005	25038988	610.63
6.90	4.90	50611	31287605	618.20
6.60	4.60	50611	31287605	618.20
6.30	4.30	50611	31287605	618.20
6.00	4.00	50611	31287605	618.20
5.70	3.70	65881	40553919	615.56
5.40	3.52	65881	40553919	615.56
5.10	3.22	65881	40553919	615.56
4.80	2.92	65881	40553919	615.56
4.50	2.62	65881	40553919	615.56
4.20	2.48	94915	56157210	591.66
3.90	2.18	94915	56157210	591.66
3.60	1.88	94915	56157210	591.66
3.30	1.59	162374	87903695	541.37
3.00	1.49	162374	87903695	541.37
2.70	1.19	162374	87903695	541.37
2.40	0.89	162374	87903695	541.37
2.10	0.74	355397	170247324	479.03
1.80	0.59	355397	170247324	479.03
1.50	0.29	355397	170247324	479.03
1.20	0.10	893948	435791284	487.49
0.90	0.08	893948	435791284	487.49
0.60	0.00	893948	435791284	487.49
