pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.77	30078	23446249	779.51
9.60	7.49	35586	26975682	758.04
9.30	7.24	35586	26975682	758.04
9.00	6.94	35586	26975682	758.04
8.70	6.64	35586	26975682	758.04
8.40	6.34	35586	26975682	758.04
8.10	6.12	43262	31622616	730.96
7.80	5.82	43262	31622616	730.96
7.50	5.52	43262	31622616	730.96
7.20	5.22	43262	31622616	730.96
6.90	5.01	54747	38172161	697.25
6.60	4.71	54747	38172161	697.25
6.30	4.41	54747	38172161	697.25
6.00	4.11	54747	38172161	697.25
5.70	3.92	72794	47875871	657.69
5.40	3.62	72794	47875871	657.69
5.10	3.32	72794	47875871	657.69
4.80	3.02	72794	47875871	657.69
4.50	2.85	104202	63379616	608.24
4.20	2.55	104202	63379616	608.24
3.90	2.25	104202	63379616	608.24
3.60	2.05	163368	91058172	557.38
3.30	1.82	163368	91058172	557.38
3.00	1.52	163368	91058172	557.38
2.70	1.22	163368	91058172	557.38
2.40	1.12	279914	144038600	514.58
2.10	0.82	279914	144038600	514.58
1.80	0.53	499991	251701155	503.41
1.50	0.46	499991	251701155	503.41
1.20	0.16	499991	251701155	503.41
0.90	0.00	844941	471396801	557.90
0.60	0.00	844941	471396801	557.90
