pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.83	60738	26083482	429.44
9.60	7.53	60738	26083482	429.44
9.30	7.28	67726	28990615	428.06
9.00	6.98	67726	28990615	428.06
8.70	6.68	67726	28990615	428.06
8.40	6.38	67726	28990615	428.06
8.10	6.13	76904	32649649	424.55
7.80	5.83	76904	32649649	424.55
7.50	5.53	76904	32649649	424.55
7.20	5.23	76904	32649649	424.55
6.90	5.00	89613	37422122	417.60
6.60	4.70	89613	37422122	417.60
6.30	4.40	89613	37422122	417.60
6.00	4.10	89613	37422122	417.60
5.70	3.88	108502	44095796	406.41
5.40	3.58	108502	44095796	406.41
5.10	3.28	108502	44095796	406.41
4.80	2.98	108502	44095796	406.41
4.50	2.78	138428	54011910	390.18
4.20	2.48	138428	54011910	390.18
3.90	2.18	138428	54011910	390.18
3.60	1.96	192220	70294908	365.70
3.30	1.71	192220	70294908	365.70
3.00	1.41	192220	70294908	365.70
2.70	1.11	192220	70294908	365.70
2.40	0.99	300672	100925726	335.67
2.10	0.69	300672	100925726	335.67
1.80	0.39	300672	100925726	335.67
1.50	0.32	541110	167888059	310.27
1.20	0.02	541110	167888059	310.27
0.90	0.00	1099670	344877027	313.62
0.60	0.00	1099670	344877027	313.62
